Search Condition
State,Not Specified
Composition
,Component Unit,mass%
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,*,AND,Na2O,,,,,,
,*,AND,MgO,,,,,,
,,OR,Al2O3,,,,,,
,*,AND,SiO2,,,,,,
,,OR,SO2,SO3,,,,,
,,OR,K2O,,,,,,
,*,AND,CaO,,,,,,
,Total of Main Components >=,95,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Young's Modulus at RT,,,,Common,,
OR,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, Na2O, K2O, SO3, SO2, Young's Modulus at RT ( GPa )
84, GB02-006487, Handbook of Glass Properties, 1986, v. 001  p. 0326, 43.76, , , , , , 16.24, , , 70.0
85, GB02-006488, Handbook of Glass Properties, 1986, v. 001  p. 0326, 60.98, , , , , , 16.7, , , 64.0
86, GB02-006489, Handbook of Glass Properties, 1986, v. 001  p. 0326, 49.38, , , , , , 13.59, , , 69.04
87, GB02-006490, Handbook of Glass Properties, 1986, v. 001  p. 0326, 73.37, , , , , , 15.18, , , 62.3
88, GB02-006491, Handbook of Glass Properties, 1986, v. 001  p. 0326, 59.92, , , , , , 13.02, , , 67.4
89, GB02-006492, Handbook of Glass Properties, 1986, v. 001  p. 0326, 77.91, , , , , , 12.47, , , 63.71
90, GB02-006493, Handbook of Glass Properties, 1986, v. 001  p. 0326, 68.24, , , , , , 10.4, , , 67.0
91, GB02-006494, Handbook of Glass Properties, 1986, v. 001  p. 0326, 76.55, , , , , , 7.67, , , 66.0
92, GB02-006495, Handbook of Glass Properties, 1986, v. 001  p. 0326, 42.27, , , , , , 16.64, , , 44.1
93, GB02-006496, Handbook of Glass Properties, 1986, v. 001  p. 0326, 39.39, , , , , , 5.97, , , 53.54
94, GB02-006497, Handbook of Glass Properties, 1986, v. 001  p. 0326, 37.16, , , , , , 4.62, , , 54.09
95, GB02-006498, Handbook of Glass Properties, 1986, v. 001  p. 0326, 34.19, , , , , , 3.15, , , 54.26
96, GB02-006499, Handbook of Glass Properties, 1986, v. 001  p. 0326, 31.05, , , , , , 2.29, , , 54.11
97, GB03-006508, Handbook of Glass Properties, 1986, v. 001  p. 0336, 36.74, , 6.23, , , , , , , 81.0
98, GB03-006509, Handbook of Glass Properties, 1986, v. 001  p. 0336, 36.76, , 9.36, , , , , , , 82.5
99, GB03-006510, Handbook of Glass Properties, 1986, v. 001  p. 0336, 36.78, , 12.48, , , , , , , 82.8
100, GB03-006511, Handbook of Glass Properties, 1986, v. 001  p. 0336, 36.8, , 15.61, , , , , , , 84.0
101, GB03-006512, Handbook of Glass Properties, 1986, v. 001  p. 0336, 36.82, , 18.74, , , , , , , 83.6
102, GB03-006513, Handbook of Glass Properties, 1986, v. 001  p. 0336, 41.52, , 6.4, , , , , , , 80.3
103, GB03-006514, Handbook of Glass Properties, 1986, v. 001  p. 0336, 41.54, , 9.61, , , , , , , 81.6
104, GB03-006515, Handbook of Glass Properties, 1986, v. 001  p. 0336, 41.56, , 12.82, , , , , , , 82.2
105, GB03-006516, Handbook of Glass Properties, 1986, v. 001  p. 0336, 41.59, , 16.04, , , , , , , 83.2
106, GB03-006517, Handbook of Glass Properties, 1986, v. 001  p. 0336, 41.61, , 19.25, , , , , , , 78.1
107, GB03-006518, Handbook of Glass Properties, 1986, v. 001  p. 0336, 52.36, , 33.46, , 14.17, , , , , 98.2
108, GB03-006519, Handbook of Glass Properties, 1986, v. 001  p. 0336, 53.28, , 30.14, , 16.58, , , , , 93.7
109, GB03-006520, Handbook of Glass Properties, 1986, v. 001  p. 0336, 55.82, , 20.99, , 23.18, , , , , 91.8
110, GB03-006521, Handbook of Glass Properties, 1986, v. 001  p. 0336, 58.0, , 13.12, , 28.87, , , , , 93.1
111, GB03-006528, Handbook of Glass Properties, 1986, v. 001  p. 0335, 47.18, , 29.49, 23.32, , , , , , 109.7
112, GB03-006529, Handbook of Glass Properties, 1986, v. 001  p. 0335, 48.42, , 25.94, 25.64, , , , , , 111.0
113, GB03-006530, Handbook of Glass Properties, 1986, v. 001  p. 0335, 49.71, , 22.2, 28.08, , , , , , 109.9
114, GB03-006531, Handbook of Glass Properties, 1986, v. 001  p. 0335, 48.05, , 32.61, 19.34, , , , , , 108.1
115, GB03-006532, Handbook of Glass Properties, 1986, v. 001  p. 0335, 49.26, , 29.26, 21.48, , , , , , 109.2
116, GB03-006533, Handbook of Glass Properties, 1986, v. 001  p. 0335, 50.54, , 25.73, 23.73, , , , , , 109.4
117, GB03-006534, Handbook of Glass Properties, 1986, v. 001  p. 0335, 51.88, , 22.01, 26.1, , , , , , 108.9
118, GB03-006535, Handbook of Glass Properties, 1986, v. 001  p. 0335, 53.3, , 18.09, 28.61, , , , , , 107.4
119, GB03-006536, Handbook of Glass Properties, 1986, v. 001  p. 0335, 52.03, , 32.1, 15.86, , , , , , 104.1
120, GB03-006537, Handbook of Glass Properties, 1986, v. 001  p. 0335, 53.32, , 28.79, 17.88, , , , , , 103.9
121, GB03-006538, Handbook of Glass Properties, 1986, v. 001  p. 0335, 54.68, , 25.3, 20.01, , , , , , 106.8
122, GB03-006539, Handbook of Glass Properties, 1986, v. 001  p. 0335, 56.11, , 21.64, 22.24, , , , , , 106.4
123, GB03-006540, Handbook of Glass Properties, 1986, v. 001  p. 0335, 57.62, , 17.78, 24.6, , , , , , 104.4
124, GB05-006577, Handbook of Glass Properties, 1986, v. 001  p. 0331, 38.49, 22.3, , , , , 39.21, , , 51.8
125, GB05-006578, Handbook of Glass Properties, 1986, v. 001  p. 0331, 40.96, 23.73, , , , , 35.31, , , 61.06
126, GB05-006579, Handbook of Glass Properties, 1986, v. 001  p. 0331, 42.32, 24.51, , , , , 33.17, , , 60.98
127, GB05-006580, Handbook of Glass Properties, 1986, v. 001  p. 0331, 43.77, 25.35, , , , , 30.88, , , 63.84
128, GB05-006581, Handbook of Glass Properties, 1986, v. 001  p. 0331, 45.32, 26.26, , , , , 28.42, , , 65.21
129, GB05-006582, Handbook of Glass Properties, 1986, v. 001  p. 0331, 46.99, 27.22, , , , , 25.78, , , 65.44
130, GB05-006583, Handbook of Glass Properties, 1986, v. 001  p. 0331, 48.79, 28.26, , , , , 22.95, , , 64.55
131, GB05-006584, Handbook of Glass Properties, 1986, v. 001  p. 0331, 49.74, 28.82, , , , , 21.44, , , 62.15
132, GB05-006585, Handbook of Glass Properties, 1986, v. 001  p. 0331, 50.73, 29.38, , , , , 19.89, , , 58.99
133, GB05-006586, Handbook of Glass Properties, 1986, v. 001  p. 0331, 52.83, 30.61, , , , , 16.56, , , 56.09
134, GB05-006587, Handbook of Glass Properties, 1986, v. 001  p. 0331, 55.12, 31.92, , , , , 12.96, , , 48.67
135, GB05-006588, Handbook of Glass Properties, 1986, v. 001  p. 0331, 25.75, 29.84, , , , , 44.4, , , 49.08
136, GB05-006589, Handbook of Glass Properties, 1986, v. 001  p. 0331, 26.84, 31.09, , , , , 42.07, , , 52.4
137, GB05-006590, Handbook of Glass Properties, 1986, v. 001  p. 0331, 29.3, 33.95, , , , , 36.75, , , 57.37
138, GB05-006591, Handbook of Glass Properties, 1986, v. 001  p. 0331, 30.71, 35.58, , , , , 33.7, , , 60.07
139, GB05-006592, Handbook of Glass Properties, 1986, v. 001  p. 0331, 32.26, 37.38, , , , , 30.35, , , 58.66
140, GB05-006593, Handbook of Glass Properties, 1986, v. 001  p. 0331, 33.98, 39.37, , , , , 26.64, , , 55.92
141, GB05-006594, Handbook of Glass Properties, 1986, v. 001  p. 0331, 35.9, 41.59, , , , , 22.51, , , 51.89
142, GB05-006595, Handbook of Glass Properties, 1986, v. 001  p. 0331, 38.04, 44.07, , , , , 17.88, , , 44.96
143, GB05-006596, Handbook of Glass Properties, 1986, v. 001  p. 0331, 43.19, 50.04, , , , , 6.77, , , 33.91
144, GB02-006597, Handbook of Glass Properties, 1986, v. 001  p. 0331, 51.59, , 32.97, , , 15.43, , , , 78.0
145, GB02-006598, Handbook of Glass Properties, 1986, v. 001  p. 0331, 52.37, , 29.62, , , 18.01, , , , 73.9
146, GB02-006599, Handbook of Glass Properties, 1986, v. 001  p. 0331, 53.62, , 24.26, , , 22.12, , , , 73.0
147, GB02-006600, Handbook of Glass Properties, 1986, v. 001  p. 0331, 56.29, , 12.74, , , 30.97, , , , 69.2
148, GB02-006603, Handbook of Glass Properties, 1986, v. 001  p. 0331, 47.72, , 34.7, , , 17.58, , , , 77.5
149, GB02-006604, Handbook of Glass Properties, 1986, v. 001  p. 0331, 52.37, , 29.62, , , 18.01, , , , 73.2
150, GB02-006605, Handbook of Glass Properties, 1986, v. 001  p. 0331, 65.06, , 15.77, , , 19.17, , , , 69.8
151, GB02-006606, Handbook of Glass Properties, 1986, v. 001  p. 0331, 72.04, , 8.15, , , 19.81, , , , 65.0
152, GB02-006608, Handbook of Glass Properties, 1986, v. 001  p. 0330, 60.29, , 8.12, , , 31.59, , , , 63.9
153, GB02-006609, Handbook of Glass Properties, 1986, v. 001  p. 0330, 62.24, , 8.12, , , 29.63, , , , 63.4
154, GB02-006610, Handbook of Glass Properties, 1986, v. 001  p. 0330, 58.51, , 22.91, , , 18.57, , , , 71.3
155, GB02-006611, Handbook of Glass Properties, 1986, v. 001  p. 0330, 57.65, , 26.34, , , 16.01, , , , 71.2
156, GB02-006612, Handbook of Glass Properties, 1986, v. 001  p. 0330, 36.98, , 41.83, , , 21.19, , , , 78.5
157, GB02-006613, Handbook of Glass Properties, 1986, v. 001  p. 0330, 42.3, , 35.89, , , 21.81, , , , 73.9
158, GB02-006614, Handbook of Glass Properties, 1986, v. 001  p. 0330, 47.94, , 29.58, , , 22.48, , , , 70.9
159, GB02-006615, Handbook of Glass Properties, 1986, v. 001  p. 0330, 53.94, , 22.88, , , 23.18, , , , 68.4
160, GB02-006616, Handbook of Glass Properties, 1986, v. 001  p. 0330, 60.32, , 15.75, , , 23.93, , , , 67.0
161, GB02-006617, Handbook of Glass Properties, 1986, v. 001  p. 0330, 67.13, , 8.14, , , 24.73, , , , 63.5
162, GB02-006618, Handbook of Glass Properties, 1986, v. 001  p. 0330, 50.89, , 35.98, , , 13.12, , , , 77.3
163, GB02-006619, Handbook of Glass Properties, 1986, v. 001  p. 0330, 56.81, , 29.66, , , 13.52, , , , 73.7
164, GB02-006620, Handbook of Glass Properties, 1986, v. 001  p. 0330, 63.11, , 22.94, , , 13.95, , , , 71.9
165, GB02-006621, Handbook of Glass Properties, 1986, v. 001  p. 0330, 69.81, , 15.79, , , 14.4, , , , 70.9
