Search Condition
State,Not Specified
Composition
,Component Unit,mass%
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,*,AND,Na2O,,,,,,
,*,AND,MgO,,,,,,
,,OR,Al2O3,,,,,,
,*,AND,SiO2,,,,,,
,,OR,SO2,SO3,,,,,
,,OR,K2O,,,,,,
,*,AND,CaO,,,,,,
,Total of Main Components >=,95,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Young's Modulus at RT,,,,Common,,
OR,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, Na2O, K2O, SO3, SO2, Young's Modulus at RT ( GPa )
7449, GP06-271706, Japanese Patent, 2006, A030486, 60.7, 3.0, 18.0, 9.0, , 0.5, 0.5, , , 84.0
7450, GP06-271707, Japanese Patent, 2006, A030486, 60.7, 4.0, 15.0, 7.0, , 0.5, 0.5, , , 77.0
7451, XP06-271781, Japanese Patent    Nippon Electric Glass (J), 2006, A056745, 55.68, , 31.49, 0.28, , 0.44, 0.66, , , 87.0
7452, XP06-271782, Japanese Patent    Nippon Electric Glass (J), 2006, A056745, 55.68, , 31.49, 0.28, , 0.44, 0.66, , , 87.0
7453, XP06-271783, Japanese Patent    Nippon Electric Glass (J), 2006, A056745, 55.68, , 31.49, 0.28, , 0.44, 0.66, , , 90.0
7454, XP06-271784, Japanese Patent    Nippon Electric Glass (J), 2006, A056745, 55.68, , 31.49, 0.28, , 0.44, 0.66, , , 90.0
7455, XP06-271785, Japanese Patent    Nippon Electric Glass (J), 2006, A056745, 53.81, , 25.28, 0.56, , , 3.89, , , 82.0
7456, GP02-272116, Japanese Patent    Central Glass (J), 2006, A131482, 68.3, , 2.8, 4.0, 9.1, 2.5, 11.0, , , 74.0
7457, GP02-272117, Japanese Patent    Central Glass (J), 2006, A131482, 66.8, , 0.6, 16.0, 2.2, 3.1, 7.2, , , 77.0
7458, GP02-272118, Japanese Patent    Central Glass (J), 2006, A131482, 66.9, , 1.2, 11.1, 0.2, 4.1, 13.6, , , 72.0
7459, GP02-272119, Japanese Patent    Central Glass (J), 2006, A131482, 67.9, , 2.7, 3.9, 8.8, 2.7, 10.7, , , 74.0
7460, GP02-272120, Japanese Patent    Central Glass (J), 2006, A131482, 64.9, , 1.6, 12.8, 1.7, 6.2, 7.8, , , 75.0
7461, GP02-272121, Japanese Patent    Central Glass (J), 2006, A131482, 65.2, , 3.8, 5.6, 8.0, 4.0, 10.2, , , 75.0
7462, GP02-272122, Japanese Patent    Central Glass (J), 2006, A131482, 67.2, , 1.2, 10.2, 1.4, 4.1, 12.5, , , 73.0
7463, GP02-272123, Japanese Patent    Central Glass (J), 2006, A131482, 67.2, , 2.7, 4.0, 9.0, 1.5, 12.4, , , 74.0
7464, GP02-272134, Japanese Patent    Nippon Electric Glass (J), 2006, A137631, 64.5, , 6.0, 5.0, 2.0, 2.0, 12.0, , , 85.0
7465, GP02-272135, Japanese Patent    Nippon Electric Glass (J), 2006, A137631, 63.5, , 6.0, 5.0, 3.0, 3.0, 11.0, , , 80.0
7466, GP05-272136, Japanese Patent    Nippon Electric Glass (J), 2006, A137631, 68.5, 13.0, 7.0, , 1.0, 6.0, 2.0, , , 65.0
7467, GP02-272137, Japanese Patent    Nippon Electric Glass (J), 2006, A137631, 54.5, , 8.0, 1.0, 2.0, 5.0, 6.0, , , 80.0
7468, GP02-272138, Japanese Patent    Nippon Electric Glass (J), 2006, A137631, 60.5, , 6.0, 8.0, 2.0, 2.0, 14.0, , , 80.0
7469, GP02-272139, Japanese Patent    Nippon Electric Glass (J), 2006, A137631, 54.5, , 7.0, 4.0, 2.0, 4.0, 7.0, , , 78.0
7470, GP02-272140, Japanese Patent    Nippon Electric Glass (J), 2006, A137631, 54.0, , 6.0, 2.0, 3.0, 4.0, 6.5, , , 75.0
7471, GP05-272141, Japanese Patent    Nippon Electric Glass (J), 2006, A137631, 68.5, 12.0, 7.0, , 2.0, 7.0, 2.0, , , 67.0
7472, GP06-272324, Japanese Patent    Schott AG (DE), 2006, A500312, 32.69, 3.79, 36.98, 15.35, , , , , , 90.0
7473, XP06-272325, Japanese Patent    Schott AG (DE), 2006, A500312, 32.69, 3.79, 36.98, 15.35, , , , , , 134.0
7474, XP06-272326, Japanese Patent    Schott AG (DE), 2006, A500312, 32.69, 3.79, 36.98, 15.35, , , , , , 147.0
7475, GP06-272327, Japanese Patent    Schott AG (DE), 2006, A500312, 23.85, 8.28, 30.34, 12.8, 2.78, , , , , 117.0
7476, XP06-272328, Japanese Patent    Schott AG (DE), 2006, A500312, 23.85, 8.28, 30.34, 12.8, 2.78, , , , , 116.0
7477, GP06-272329, Japanese Patent    Schott AG (DE), 2006, A500312, 22.89, 3.97, 29.12, 12.28, 2.67, , , , , 109.0
7478, XP06-272330, Japanese Patent    Schott AG (DE), 2006, A500312, 22.89, 3.97, 29.12, 12.28, 2.67, , , , , 125.0
7479, GP06-272331, Japanese Patent    Schott AG (DE), 2006, A500312, 21.37, 1.77, 33.67, 13.31, , , , , , 146.0
7480, XP06-272332, Japanese Patent    Schott AG (DE), 2006, A500312, 23.59, 1.83, 34.68, 13.71, , , , , , 125.0
7481, XP06-272333, Japanese Patent    Schott AG (DE), 2006, A500312, 23.59, 1.83, 34.68, 13.71, , , , , , 158.0
7482, GP05-272411, US Patent    Corning Inc. (US), 2006, A6992030, 68.97, 10.8, 12.65, , 6.96, , , , , 68.31
7483, GP05-272412, US Patent    Corning Inc. (US), 2006, A6992030, 69.31, 10.85, 12.71, 1.26, 5.25, , , , , 67.62
7484, GP05-272414, US Patent    Corning Inc. (US), 2006, A6992030, 66.42, 11.75, 13.31, , 6.89, , , , , 68.31
7485, GP05-272415, US Patent    Corning Inc. (US), 2006, A6992030, 68.86, 14.01, 10.27, , 5.21, , , , , 70.38
7486, GP05-272417, US Patent    Corning Inc. (US), 2006, A6992030, 67.18, 15.14, 9.5, , 6.53, , , , , 64.17
7487, GP05-272418, US Patent    Corning Inc. (US), 2006, A6992030, 69.44, 15.22, 7.97, , 5.7, , , , , 62.79
7488, GP02-272453, US Patent    Ohara Inc. (J), 2006, A7005187, 41.39, , , , , 14.1, 9.0, , , 85.0
7489, GP02-272454, US Patent    Ohara Inc. (J), 2006, A7005187, 39.39, 2.0, , , , 14.1, 9.0, , , 87.0
7490, GP02-272455, US Patent    Ohara Inc. (J), 2006, A7005187, 41.39, , , 0.5, , 13.0, 8.0, , , 114.0
7491, GP02-272460, US Patent    Ohara Inc. (J), 2006, A7005187, 25.0, , , , , 15.12, 11.25, , , 85.0
7492, XP06-272462, US Patent    AGC (J), 2006, A7008891, 40.61, , 30.24, , , 8.03, 12.21, , , 90.0
7493, XP06-272463, US Patent    AGC (J), 2006, A7008891, 38.11, , 32.34, 1.62, , 7.55, 11.47, , , 89.0
7494, XP06-272464, US Patent    AGC (J), 2006, A7008891, 35.57, , 34.63, 3.25, , 6.99, 10.62, , , 96.0
7495, XP06-272465, US Patent    AGC (J), 2006, A7008891, 37.5, , 31.81, , , 7.42, 11.28, , , 91.0
7496, XP06-272466, US Patent    AGC (J), 2006, A7008891, 34.44, , 33.52, , , 6.76, 10.28, , , 96.0
7497, XP06-272467, US Patent    AGC (J), 2006, A7008891, 34.9, , 33.96, 3.18, , 3.43, 15.76, , , 97.0
7498, XP06-272468, US Patent    AGC (J), 2006, A7008891, 40.23, 0.65, 29.97, , , 8.03, 12.21, , , 89.0
7499, XP06-272469, US Patent    AGC (J), 2006, A7008891, 36.82, , 31.24, , , 3.61, 16.56, , , 91.0
7500, XP06-272470, US Patent    AGC (J), 2006, A7008891, 35.27, , 33.6, 2.7, , 3.67, 16.7, , , 96.0
7501, XP06-272471, US Patent    AGC (J), 2006, A7008891, 35.13, , 32.72, 2.1, , 3.88, 17.57, , , 94.0
7502, XP03-272489, US Patent    Hoya Corp. (J), 2006, A7015161, 46.23, , 17.97, 19.38, , , , , , 148.5
7503, XP03-272490, US Patent    Hoya Corp. (J), 2006, A7015161, 45.09, , 17.1, 19.31, , , , , , 150.5
7504, XP03-272491, US Patent    Hoya Corp. (J), 2006, A7015161, 46.39, , 17.58, 18.87, , , , , , 147.0
7505, XP03-272492, US Patent    Hoya Corp. (J), 2006, A7015161, 44.27, , 17.15, 20.02, , , , , , 153.2
7506, XP03-272493, US Patent    Hoya Corp. (J), 2006, A7015161, 43.47, , 19.61, 17.68, , , , , , 146.7
7507, XP03-272494, US Patent    Hoya Corp. (J), 2006, A7015161, 38.62, , 19.98, 21.8, , , , , , 179.1
7508, XP03-272495, US Patent    Hoya Corp. (J), 2006, A7015161, 40.25, , 19.86, 20.41, , , , , , 170.0
7509, XP03-272496, US Patent    Hoya Corp. (J), 2006, A7015161, 41.87, , 19.73, 19.04, , , , , , 163.4
7510, XP03-272497, US Patent    Hoya Corp. (J), 2006, A7015161, 43.47, , 19.61, 17.68, , , , , , 157.3
7511, XP03-272498, US Patent    Hoya Corp. (J), 2006, A7015161, 47.27, , 17.19, 19.09, , , , , , 149.1
7512, GP06-272648, US Patent, 2006, A0014026, 59.7, 4.0, 15.0, 6.0, , 0.5, 0.5, , , 88.0
7513, GP06-272649, US Patent, 2006, A0014026, 61.7, 3.0, 15.0, 8.0, , 0.5, 0.5, , , 84.0
7514, GP06-272650, US Patent, 2006, A0014026, 60.7, 3.0, 18.0, 9.0, , 0.5, 0.5, , , 84.0
7515, GP06-272651, US Patent, 2006, A0014026, 60.7, 4.0, 15.0, 7.0, , 0.5, 0.5, , , 77.0
7516, GP06-272652, US Patent, 2006, A0014026, 57.7, 3.0, 14.0, 8.0, , 0.5, 0.5, , , 83.0
7517, GP06-272653, US Patent, 2006, A0014026, 59.7, 4.0, 15.0, 6.0, , 0.5, 0.5, , , 83.0
7518, XP03-272689, US Patent    Hoya Corp. (J), 2006, A0040142, 50.0, , 17.5, 20.5, , , , , , 135.6
7519, XP03-272690, US Patent    Hoya Corp. (J), 2006, A0040142, 49.87, , 17.7, 21.03, , , , , , 131.9
7520, XP03-272691, US Patent    Hoya Corp. (J), 2006, A0040142, 48.0, , 17.5, 22.5, , , , , , 138.4
7521, XP03-272692, US Patent    Hoya Corp. (J), 2006, A0040142, 50.0, , 19.0, 16.0, , , , , , 131.9
7522, XP03-272693, US Patent    Hoya Corp. (J), 2006, A0040142, 47.0, , 12.5, 28.5, , , , , , 157.3
7523, XP03-272694, US Patent    Hoya Corp. (J), 2006, A0040142, 41.0, , 12.5, 34.5, , , , , , 179.1
7524, XP03-272695, US Patent    Hoya Corp. (J), 2006, A0040142, 43.0, , 12.5, 32.5, , , , , , 170.0
7525, XP03-272696, US Patent    Hoya Corp. (J), 2006, A0040142, 48.5, , 17.5, 20.0, , , , , , 138.9
7526, XP03-272697, US Patent    Hoya Corp. (J), 2006, A0040142, 48.5, , 17.5, 17.5, , , , , , 132.6
7527, XP03-272698, US Patent    Hoya Corp. (J), 2006, A0040142, 48.0, , 17.5, 21.5, , , , , , 141.1
7528, GP06-272998, European Patent, 2006, A1617241, 59.7, 4.0, 15.0, 6.0, , 0.5, 0.5, , , 88.0
7529, GP06-272999, European Patent, 2006, A1617241, 61.7, 3.0, 15.0, 8.0, , 0.5, 0.5, , , 84.0
7530, GP06-273000, European Patent, 2006, A1617241, 60.7, 3.0, 18.0, 9.0, , 0.5, 0.5, , , 84.0
7531, GP06-273001, European Patent, 2006, A1617241, 60.7, 4.0, 15.0, 7.0, , 0.5, 0.5, , , 77.0
7532, GP06-273002, European Patent, 2006, A1617241, 57.7, 3.0, 14.0, 8.0, , 0.5, 0.5, , , 83.0
7533, GP06-273003, European Patent, 2006, A1617241, 59.7, 4.0, 15.0, 6.0, , 0.5, 0.5, , , 83.0
7534, GP09-273065, European Patent    Ohara Inc. (J), 2006, A1640346, 27.5, , , , , 9.0, 2.0, , , 101.0
7535, GP09-273066, European Patent    Ohara Inc. (J), 2006, A1640346, 24.0, , , , , 2.0, 11.0, , , 94.0
7536, GP09-273067, European Patent    Ohara Inc. (J), 2006, A1640346, 29.0, , , , , , 6.0, , , 101.0
7537, GP09-273068, European Patent    Ohara Inc. (J), 2006, A1640346, 26.0, , , , , 5.0, 9.0, , , 95.0
7538, GP09-273069, European Patent    Ohara Inc. (J), 2006, A1640346, 30.0, , , , , , 6.0, , , 102.0
7539, GP09-273070, European Patent    Ohara Inc. (J), 2006, A1640346, 34.0, , , , , 1.0, 3.0, , , 101.0
7540, GP09-273071, European Patent    Ohara Inc. (J), 2006, A1640346, 24.0, , , , , 1.0, 10.5, , , 96.0
7541, GP09-273072, European Patent    Ohara Inc. (J), 2006, A1640346, 27.0, , , , , 2.5, 7.5, , , 98.0
7542, GP09-273073, European Patent    Ohara Inc. (J), 2006, A1640346, 28.5, , , , , 1.2, 7.0, , , 100.0
7543, GP09-273074, European Patent    Ohara Inc. (J), 2006, A1640346, 26.0, , , , , , 10.0, , , 95.0
7544, GP03-273131, European Patent    Nippon Electric Glass (J), 2006, A1653499, 48.0, 15.0, 10.0, , , , , 6.0E-4, , 68.4
7545, GP03-273132, European Patent    Nippon Electric Glass (J), 2006, A1653499, 48.0, 15.0, 10.0, 0.5, 1.9, , , 6.0E-4, , 75.2
7546, GP03-273134, European Patent    Nippon Electric Glass (J), 2006, A1653499, 54.27, 8.04, 12.06, 0.6, 4.42, , , 9.043E-4, , 76.0
7547, GP03-273135, European Patent    Nippon Electric Glass (J), 2006, A1653499, 42.98, 15.99, 7.99, , 1.3, , , 0.001199, , 74.1
7548, GP03-273138, European Patent    Nippon Electric Glass (J), 2006, A1653499, 45.97, 15.99, 10.0, 0.3, 3.2, 1.5, 2.3, 0.008997, , 78.1
7549, GP03-273140, European Patent    Nippon Electric Glass (J), 2006, A1653499, 45.97, 16.99, 11.0, 0.8, 1.5, 0.7, 1.1, 0.008997, , 74.4
7550, GJ30-273523, J. Non-Crystalline Solids, 2006, v. 352  p. 3613, 7.14, , 40.31, 4.18, 48.37, , , , , 110.0
7551, GJ03-273524, J. Non-Crystalline Solids, 2006, v. 352  p. 3613, 25.7, , 34.3, 4.1, 35.9, , , , , 80.0
7552, GJ03-273525, J. Non-Crystalline Solids, 2006, v. 352  p. 3613, 30.0, , 30.0, 4.1, 35.9, , , , , 87.0
7553, GJ03-273526, J. Non-Crystalline Solids, 2006, v. 352  p. 3613, 30.0, , 34.0, 4.1, 31.9, , , , , 94.0
7554, GJ03-273527, J. Non-Crystalline Solids, 2006, v. 352  p. 3613, 34.0, , 27.9, 4.1, 34.0, , , , , 100.0
7555, GJ03-273528, J. Non-Crystalline Solids, 2006, v. 352  p. 3613, 39.0, , 25.5, 4.1, 31.4, , , , , 101.0
7556, GJ03-273951, J. Non-Crystalline Solids, 2006, v. 352  p. 4017, 55.08, , 8.96, 0.76, 16.01, 5.14, 5.39, 0.3, , 70.2
7557, GJ03-273952, J. Non-Crystalline Solids, 2006, v. 352  p. 4017, 63.79, , 11.25, 0.6, 8.19, 4.62, 5.22, 0.08, , 80.8
7558, XP06-274469, Japanese Patent    Ohara Inc. (J), 2006, A208985, 54.5, , 24.0, 1.0, 1.0, , , , , 98.0
7559, XP06-274470, Japanese Patent    Ohara Inc. (J), 2006, A208985, 55.0, , 24.0, 0.5, 1.0, , , , , 90.0
7560, GP03-274471, Japanese Patent    Nippon Electric Glass (J), 2006, A210328, 54.7, , 7.0, 2.0, 2.0, 4.5, 7.0, 0.2, , 77.0
7561, GP03-274472, Japanese Patent    Nippon Electric Glass (J), 2006, A210328, 67.3, , 2.0, 8.2, 4.8, 2.1, 5.8, 0.2, , 77.0
7562, GP03-274473, Japanese Patent    Nippon Electric Glass (J), 2006, A210328, 69.0, , 2.1, 7.5, 4.4, 2.1, 5.8, 0.1, , 78.0
7563, GP03-274482, Japanese Patent, 2006, A213595, 62.9, 9.6, 12.1, 6.3, 7.4, , , , , 77.2
7564, GP03-274483, Japanese Patent, 2006, A213595, 65.0, 9.2, 12.5, 2.5, 10.0, , , , , 75.9
7565, GP03-274484, Japanese Patent, 2006, A213595, 65.0, 9.2, 14.0, 1.0, 7.4, , , , , 73.2
7566, GP03-274485, Japanese Patent, 2006, A213595, 65.0, 10.8, 14.0, 1.0, 7.5, , , , , 71.9
7567, GP03-274486, Japanese Patent, 2006, A213595, 66.8, 7.6, 12.5, 2.5, 10.0, , , , , 75.8
7568, GP03-274487, Japanese Patent, 2006, A213595, 66.8, 7.6, 12.5, 4.0, 7.3, , , , , 76.1
7569, GP03-274488, Japanese Patent, 2006, A213595, 66.8, 9.0, 14.0, 2.5, 4.7, , , , , 73.3
7570, GP03-274489, Japanese Patent, 2006, A213595, 66.8, 8.5, 14.0, 2.0, 5.7, , , , , 71.7
7571, GP03-274490, Japanese Patent, 2006, A213595, 68.62, 7.38, 11.0, 4.0, 7.3, , , , , 75.9
7572, GP03-274491, Japanese Patent, 2006, A213595, 68.6, 9.2, 12.5, 2.5, 4.8, , , , , 72.5
7573, GP02-274520, Japanese Patent    Nippon Electric Glass (J), 2006, A221942, 54.7, , 7.0, 2.0, 2.0, 4.5, 7.0, 0.2, , 77.0
7574, GP02-274521, Japanese Patent    Nippon Electric Glass (J), 2006, A221942, 67.3, , 2.0, 8.2, 4.8, 2.1, 5.8, 0.2, , 77.0
7575, GP02-274522, Japanese Patent    Nippon Electric Glass (J), 2006, A221942, 69.0, , 2.1, 7.5, 4.4, 2.1, 5.8, 0.1, , 78.0
7576, GP02-275023, Japanese Patent    Konica Minolta (J), 2006, A327935, 46.5, 4.4, 9.1, 3.6, 3.4, 3.4, 7.3, , , 90.0
7577, GP02-275024, Japanese Patent    Konica Minolta (J), 2006, A327935, 49.9, 4.4, 9.1, 3.4, 0.2, 3.4, 7.3, , , 87.0
7578, GP02-275025, Japanese Patent    Konica Minolta (J), 2006, A327935, 60.03, 3.6, 5.09, 3.9, 5.69, 4.1, 2.0, , , 90.0
7579, GP02-275026, Japanese Patent    Konica Minolta (J), 2006, A327935, 65.02, 3.6, 5.08, 3.9, 3.7, 4.1, 2.0, , , 87.0
7580, GP02-275027, Japanese Patent    Konica Minolta (J), 2006, A327935, 68.02, 3.6, 3.1, 3.89, 3.7, 4.09, 2.0, , , 85.0
7581, GP02-275028, Japanese Patent    Konica Minolta (J), 2006, A327935, 55.98, 3.89, 5.59, 4.29, 6.29, 4.49, 2.3, , , 93.0
7582, GP02-275029, Japanese Patent    Konica Minolta (J), 2006, A327935, 58.48, 2.89, 4.09, 4.29, 6.29, 4.49, 2.3, , , 92.0
7583, GP02-275030, Japanese Patent    Konica Minolta (J), 2006, A327935, 59.13, 5.0, 7.28, 4.4, 4.4, 3.8, 1.9, , , 88.0
7584, GP02-275031, Japanese Patent    Konica Minolta (J), 2006, A327935, 59.13, 1.0, 7.28, 4.4, 4.4, 3.8, 1.9, , , 90.0
7585, GP02-275032, Japanese Patent    Konica Minolta (J), 2006, A327935, 59.13, 3.0, 9.28, 4.4, 4.4, 3.8, 1.9, , , 89.0
7586, GP02-275033, Japanese Patent    Konica Minolta (J), 2006, A327936, 46.5, 4.4, 9.1, 3.6, 3.4, 3.4, 7.3, , , 90.0
7587, GP02-275034, Japanese Patent    Konica Minolta (J), 2006, A327936, 49.9, 4.4, 9.1, 3.4, 0.2, 3.4, 7.3, , , 87.0
7588, GP02-275035, Japanese Patent    Konica Minolta (J), 2006, A327936, 60.03, 3.6, 5.09, 3.9, 5.69, 4.1, 2.0, , , 90.0
7589, GP02-275036, Japanese Patent    Konica Minolta (J), 2006, A327936, 65.02, 3.6, 5.08, 3.9, 3.7, 4.1, 2.0, , , 87.0
7590, GP02-275037, Japanese Patent    Konica Minolta (J), 2006, A327936, 68.02, 3.6, 3.1, 3.89, 3.7, 4.09, 2.0, , , 85.0
7591, GP02-275038, Japanese Patent    Konica Minolta (J), 2006, A327936, 55.98, 3.89, 5.59, 4.29, 6.29, 4.49, 2.3, , , 93.0
7592, GP02-275039, Japanese Patent    Konica Minolta (J), 2006, A327936, 58.48, 2.89, 4.09, 4.29, 6.29, 4.49, 2.3, , , 92.0
7593, GP02-275040, Japanese Patent    Konica Minolta (J), 2006, A327936, 59.13, 5.0, 7.28, 4.4, 4.4, 3.8, 1.9, , , 88.0
7594, GP02-275041, Japanese Patent    Konica Minolta (J), 2006, A327936, 59.13, 1.0, 7.28, 4.4, 4.4, 3.8, 1.9, , , 90.0
7595, GP02-275042, Japanese Patent    Konica Minolta (J), 2006, A327936, 59.13, 3.0, 9.28, 4.4, 4.4, 3.8, 1.9, , , 89.0
7596, GP05-275106, Japanese Patent    Hoya Corp. (J), 2006, A347795, 61.68, 11.02, 17.55, 2.15, 5.46, , , , , 72.7
7597, GP05-275107, Japanese Patent    Hoya Corp. (J), 2006, A347795, 61.92, 11.05, 16.03, 1.6, 7.11, , , , , 71.2
7598, GP05-275108, Japanese Patent    Hoya Corp. (J), 2006, A347795, 62.41, 10.64, 16.82, 1.97, 6.0, , , , , 72.9
7599, GP05-275109, Japanese Patent    Hoya Corp. (J), 2006, A347795, 62.47, 10.64, 17.15, 1.97, 6.0, , , , , 73.1
7600, GP05-275110, Japanese Patent    Hoya Corp. (J), 2006, A347795, 62.51, 10.65, 16.22, 1.97, 6.0, , , , , 72.9
7601, GP05-275111, Japanese Patent    Hoya Corp. (J), 2006, A347796, 61.68, 11.02, 17.55, 2.15, 5.46, , , , , 72.7
7602, GP05-275112, Japanese Patent    Hoya Corp. (J), 2006, A347796, 61.92, 11.05, 16.03, 1.6, 7.11, , , , , 71.2
7603, GP05-275113, Japanese Patent    Hoya Corp. (J), 2006, A347796, 62.41, 10.64, 16.82, 1.97, 6.0, , , , , 72.9
7604, GP05-275114, Japanese Patent    Hoya Corp. (J), 2006, A347796, 62.47, 10.64, 17.15, 1.97, 6.0, , , , , 73.1
7605, GP05-275115, Japanese Patent    Hoya Corp. (J), 2006, A347796, 62.51, 10.65, 16.22, 1.97, 6.0, , , , , 72.9
7606, GP10-275317, US Patent    Hoya Corp. (J), 2006, A7090937, , 59.38, 17.39, 4.58, 11.96, , 6.69, , , 65.28
7607, GP05-275318, US Patent    Hoya Corp. (J), 2006, A7090937, 8.9, 51.57, 18.13, 4.78, 16.62, , , , , 80.0
7608, GP05-275319, US Patent    Hoya Corp. (J), 2006, A7090937, 18.06, 41.84, 18.39, 4.85, 16.86, , , , , 81.4
7609, GP05-275320, US Patent    Hoya Corp. (J), 2006, A7090937, 26.71, 30.94, 18.13, 4.78, 12.46, , 6.98, , , 75.52
7610, GP05-275321, US Patent    Hoya Corp. (J), 2006, A7090937, 35.96, 20.83, 18.31, 4.82, 8.39, 4.64, 7.05, , , 72.71
7611, GP05-275322, US Patent    Hoya Corp. (J), 2006, A7090937, 42.56, 10.96, 24.07, 6.35, 8.83, 4.88, , , , 87.97
7612, GP05-275323, US Patent    Hoya Corp. (J), 2006, A7090937, 41.09, 21.16, 15.49, 6.13, 4.26, 4.71, 7.16, , , 68.82
7613, GP05-275324, US Patent    Hoya Corp. (J), 2006, A7090937, 46.47, 10.77, 15.77, 6.24, 8.67, 4.79, 7.29, , , 76.62
7614, GP05-275325, US Patent    Hoya Corp. (J), 2006, A7090937, 48.91, 11.33, 16.6, 6.56, 9.13, 5.04, , , , 88.53
7615, GP05-275326, US Patent    Hoya Corp. (J), 2006, A7090937, 47.19, 10.93, 19.21, 5.06, 17.61, , , , , 86.1
7616, GP02-275344, US Patent    Central Glass (J), 2006, A7091144, 56.5, , , , 14.1, 11.7, 17.7, , , 71.0
7617, GP02-275345, US Patent    Central Glass (J), 2006, A7091144, 56.0, , 1.6, 1.6, 13.7, 10.8, 16.3, , , 76.0
7618, GP02-275346, US Patent    Central Glass (J), 2006, A7091144, 53.6, , 1.5, , 13.1, 10.3, 15.7, , , 72.0
7619, GP02-275347, US Patent    Central Glass (J), 2006, A7091144, 57.9, , , , 18.0, 12.0, 12.1, , , 71.0
7620, GP02-275350, US Patent    Central Glass (J), 2006, A7091144, 42.9, , , , , 10.3, 13.5, , , 76.3
7621, GP02-275352, US Patent    Central Glass (J), 2006, A7091144, 42.0, , , , , 13.0, 13.2, , , 82.0
7622, GP02-275353, US Patent    Central Glass (J), 2006, A7091144, 39.95, , , , , 12.59, 14.09, , , 76.0
7623, GP02-275381, US Patent    Ohara Inc. (J), 2006, A7101625, 41.39, , , , , 14.1, 9.0, , , 85.0
7624, GP02-275382, US Patent    Ohara Inc. (J), 2006, A7101625, 39.39, 2.0, , , , 14.1, 9.0, , , 87.0
7625, GP02-275383, US Patent    Ohara Inc. (J), 2006, A7101625, 41.39, , , 0.5, , 13.0, 8.0, , , 114.0
7626, GP02-275388, US Patent    Ohara Inc. (J), 2006, A7101625, 40.0, , , , , 12.1, 9.0, , , 85.0
7627, GP05-275389, US Patent    Schott AG (DE), 2006, A7102242, 45.91, 19.96, 2.0, , 1.0, 7.98, 3.99, , , 85.0
7628, GP05-275390, US Patent    Schott AG (DE), 2006, A7102242, 45.61, 20.46, 2.0, , 1.0, 7.78, 3.99, , , 85.0
7629, GP06-275539, US Patent    Schott AG (DE), 2006, A7153797, 61.6, 8.04, 16.08, 3.42, 7.54, , , , , 79.0
7630, GP06-275540, US Patent    Schott AG (DE), 2006, A7153797, 61.61, 8.04, 16.28, 3.42, 7.34, , , , , 79.0
7631, GP06-275541, US Patent    Schott AG (DE), 2006, A7153797, 61.6, 7.84, 16.08, 3.82, 7.34, , , , , 79.0
7632, GP06-275542, US Patent    Schott AG (DE), 2006, A7153797, 63.31, 10.05, 15.68, 3.12, 4.62, , , , , 76.0
7633, GP06-275543, US Patent    Schott AG (DE), 2006, A7153797, 59.3, 10.05, 18.09, 3.22, 4.62, , , , , 77.0
7634, GP06-275544, US Patent    Schott AG (DE), 2006, A7153797, 61.2, 8.04, 16.28, 3.12, 8.24, , , , , 79.0
7635, GP06-275545, US Patent    Schott AG (DE), 2006, A7153797, 64.12, 6.13, 14.57, 5.53, 5.83, , , , , 80.0
7636, GP06-275546, US Patent    Schott AG (DE), 2006, A7153797, 63.01, 8.04, 15.67, 3.22, 5.03, , , , , 76.0
7637, GP02-275547, US Patent    Saint-Gobain (FR), 2006, A7153798, 67.78, , 2.12, 0.1, 8.59, 16.16, 5.15, , , 68.0
7638, GP02-275548, US Patent    Saint-Gobain (FR), 2006, A7153798, 64.19, , 0.45, 0.07, 13.32, 21.96, 0.01, , , 70.0
7639, GP02-275549, US Patent    Saint-Gobain (FR), 2006, A7153798, 63.65, , 2.47, 0.1, 13.49, 17.62, 2.67, , , 70.0
7640, GP02-275550, US Patent    Saint-Gobain (FR), 2006, A7153798, 64.8, , 2.0, 0.5, 10.4, 17.4, 4.9, , , 68.0
7641, GP02-275551, US Patent    Saint-Gobain (FR), 2006, A7153798, 64.0, , 2.0, 0.5, 10.4, 16.3, 4.8, , , 68.0
7642, GP02-275552, US Patent    Saint-Gobain (FR), 2006, A7153798, 65.0, , 1.0, , 14.1, 18.9, 1.0, , , 69.0
7643, GP06-275630, US Patent, 2006, A0166804, 32.69, 3.79, 36.98, 15.35, , , , , , 90.0
7644, XP06-275631, US Patent, 2006, A0166804, 32.69, 3.79, 36.98, 15.35, , , , , , 134.0
7645, GP06-275632, US Patent, 2006, A0166804, 23.85, 8.28, 30.34, 12.8, 2.78, , , , , 117.0
7646, XP06-275633, US Patent, 2006, A0166804, 23.85, 8.28, 30.34, 12.8, 2.78, , , , , 116.0
7647, GP06-275634, US Patent, 2006, A0166804, 22.89, 3.97, 29.12, 12.28, 2.67, , , , , 109.0
