Search Condition
State,Glass
Composition
,Component Unit,mass%
,Numerical
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,Total of Main Components >=,90,%
Commercial Glass,null
Glass System,Alkali Silicate
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
Numerical
,Property,,,,Unit,min,max
,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, K2O, SO3, Fracture Toughness ( MPa.m1/2 ), Fracture Toughness (Predictive Value), Fracture Toughness (Residual)
350, GP02-272119, Japanese Patent    Central Glass (J), 2006, A131482, 67.9, 2.7, 3.9, 8.8, 2.7, 10.7, , 0.75, , 
351, GP02-272120, Japanese Patent    Central Glass (J), 2006, A131482, 64.9, 1.6, 12.8, 1.7, 6.2, 7.8, , 0.81, , 
352, GP02-272121, Japanese Patent    Central Glass (J), 2006, A131482, 65.2, 3.8, 5.6, 8.0, 4.0, 10.2, , 0.74, , 
353, GP02-272122, Japanese Patent    Central Glass (J), 2006, A131482, 67.2, 1.2, 10.2, 1.4, 4.1, 12.5, , 0.79, , 
354, GP02-272123, Japanese Patent    Central Glass (J), 2006, A131482, 67.2, 2.7, 4.0, 9.0, 1.5, 12.4, , 0.79, , 
355, GP02-272212, Japanese Patent    Central Glass (J), 2006, A143523, 66.9, 1.2, 11.1, 0.2, 4.1, 13.6, , 0.79, , 
356, GP02-272213, Japanese Patent    Central Glass (J), 2006, A143523, 66.8, 1.7, 10.2, 1.8, 3.5, 12.7, , 0.78, , 
357, GP02-272214, Japanese Patent    Central Glass (J), 2006, A143523, 67.2, 1.2, 10.2, 1.4, 4.1, 12.5, , 0.79, , 
358, GP02-272215, Japanese Patent    Central Glass (J), 2006, A143523, 63.8, 0.8, 13.3, 0.2, 4.1, 15.3, , 0.78, , 
359, GP02-272216, Japanese Patent    Central Glass (J), 2006, A143523, 66.5, 1.3, 11.2, 0.5, 4.1, 13.1, , 0.78, , 
360, GP02-272217, Japanese Patent    Central Glass (J), 2006, A143523, 65.2, 2.9, 10.4, 1.3, 4.0, 12.9, , 0.81, , 
361, GP02-272218, Japanese Patent    Central Glass (J), 2006, A143523, 68.5, 0.6, 10.2, 0.2, 5.1, 12.1, , 0.79, , 
362, GP02-272219, Japanese Patent    Central Glass (J), 2006, A143523, 63.8, 0.8, 14.1, 1.3, 2.6, 14.7, , 0.76, , 
363, GP02-272220, Japanese Patent    Central Glass (J), 2006, A143523, 65.8, 2.1, 10.5, 1.4, 4.0, 13.0, , 0.79, , 
364, GP03-278387, Japanese Patent    Central Glass (J), 2007, A091522, 66.3, 0.9, 4.4, 7.0, 3.4, 3.0, , 0.69, , 
365, GP03-278388, Japanese Patent    Central Glass (J), 2007, A091522, 62.83, 2.4, 3.6, 5.89, 3.3, 2.9, , 0.67, , 
366, GP03-278389, Japanese Patent    Central Glass (J), 2007, A091522, 60.53, 0.9, 3.6, 5.79, 3.2, 2.8, , 0.61, , 
367, GP03-278390, Japanese Patent    Central Glass (J), 2007, A091522, 62.47, 2.4, 3.59, 5.89, 3.29, 2.89, , 0.65, , 
368, GP03-278391, Japanese Patent    Central Glass (J), 2007, A091522, 62.13, 2.4, 3.6, 5.79, 2.8, 2.2, , 0.63, , 
369, GP03-278392, Japanese Patent    Central Glass (J), 2007, A091522, 68.3, 0.5, 5.4, 7.9, 2.0, 3.5, , 0.69, , 
370, GP03-278393, Japanese Patent    Central Glass (J), 2007, A091522, 59.67, 2.9, 3.0, 5.11, 3.8, 1.5, , 0.62, , 
371, GJ02-283879, J. Materials Science, 2008, v. 043  p. 0281, 71.71, 0.69, 4.18, 8.85, 14.41, 0.16, , 0.72, 0.7579082149602382, -0.03790821496023822
372, GJ02-283881, J. Materials Science, 2008, v. 043  p. 0281, 78.65, 4.85, , , 5.83, 4.85, , 0.78, , 
373, GJ02-292282, Glass Physics & Chemistry, 2009, v. 035  p. 0369, 74.23, 2.06, , 9.28, 14.43, , , 1.19, 0.7891108427148669, 0.4008891572851331
374, GP02-292432, Japanese Patent    Central Glass (J), 2009, A155148, 67.1, 1.2, 10.2, 1.4, 4.1, 12.5, , 0.79, , 
375, GP02-292433, Japanese Patent    Central Glass (J), 2009, A155148, 65.1, 0.9, 10.4, 1.9, 3.1, 10.9, , 0.77, , 
376, GP02-292434, Japanese Patent    Central Glass (J), 2009, A155148, 66.9, 1.2, 11.1, 0.2, 4.1, 13.6, , 0.79, , 
377, GP02-292435, Japanese Patent    Central Glass (J), 2009, A155148, 65.5, 1.3, 10.9, 2.8, 2.9, 12.4, , 0.7, , 
378, GP02-292436, Japanese Patent    Central Glass (J), 2009, A155148, 64.4, 1.3, 10.7, 2.7, 4.6, 10.4, , 0.7, , 
379, GP02-292437, Japanese Patent    Central Glass (J), 2009, A155148, 65.6, 1.7, 9.8, 2.3, 3.8, 6.5, , 0.72, , 
380, GP02-292438, Japanese Patent    Central Glass (J), 2009, A155148, 67.5, 1.2, 10.2, 2.1, 3.6, 11.2, , 0.82, , 
381, GP02-292439, Japanese Patent    Central Glass (J), 2009, A155148, 65.8, 1.7, 9.8, 2.3, 4.3, 7.3, , 0.71, , 
382, GP02-292440, Japanese Patent    Central Glass (J), 2009, A155148, 64.3, 2.2, 10.1, 2.8, 5.7, 8.8, , 0.67, , 
383, GP02-292441, Japanese Patent    Central Glass (J), 2009, A155148, 65.3, 1.7, 10.5, 3.2, 3.0, 11.5, , 0.76, , 
384, GP02-293456, US Patent    Konica Minolta (J), 2009, A7566673, 71.5, 10.0, , , 5.0, 2.5, , 1.18, , 
385, GP02-294176, US Patent, 2009, A0291820, 69.3, 1.1, 1.0, , , 4.3, , 1.6, , 
386, GP02-294177, US Patent, 2009, A0291820, 73.0, 1.1, , , , 4.4, , 2.2, , 
387, GP02-294178, US Patent, 2009, A0291820, 64.0, 4.0, 1.0, , , 4.2, , 1.9, , 
388, GP02-294179, US Patent, 2009, A0291820, 68.1, 5.0, , , , 4.2, , 1.9, , 
389, GP02-294180, US Patent, 2009, A0291820, 70.1, 1.1, 5.0, , , 4.5, , 1.8, , 
390, GP02-294181, US Patent, 2009, A0291820, 69.0, 1.1, 1.0, , , 4.3, , 2.3, , 
391, GP02-294182, US Patent, 2009, A0291820, 68.6, 1.1, 1.0, , , 4.3, , 1.8, , 
392, GP02-294183, US Patent, 2009, A0291820, 69.9, 1.1, 1.0, 2.0, , 4.4, , 2.4, , 
393, GP02-294184, US Patent, 2009, A0291820, 68.6, 3.0, , , 2.0, 2.0, , 1.9, , 
394, GP02-294185, US Patent, 2009, A0291820, 68.8, 1.1, 1.0, , , 5.0, , 1.8, , 
395, GP02-297093, US Patent    AGC (J), 2010, A0137122, 65.4, 5.0, 7.2, 3.0, 6.4, 3.5, , 0.77, , 
396, GP02-297094, US Patent    AGC (J), 2010, A0137122, 57.5, 7.4, 4.5, 4.3, 4.9, 4.5, , 0.75, , 
397, GP02-297095, US Patent    AGC (J), 2010, A0137122, 58.0, 7.5, 4.5, 5.1, 4.9, 4.5, , 0.76, , 
398, GP02-297096, US Patent    AGC (J), 2010, A0137122, 57.3, 7.4, 5.7, 3.3, 4.8, 4.5, , 0.72, , 
399, GP02-297097, US Patent    AGC (J), 2010, A0137122, 56.2, 14.1, 6.0, 6.0, 8.0, 3.0, , 0.73, , 
400, GP02-297098, US Patent    AGC (J), 2010, A0137122, 59.5, 7.1, 3.2, 5.2, 3.5, 7.6, , 0.69, , 
401, GP02-297099, US Patent    AGC (J), 2010, A0137122, 62.2, 9.6, 4.6, 6.4, 5.3, 7.4, , 0.69, , 
402, GP02-297151, US Patent    Hoya Corp. (J), 2010, A0160141, 62.28, 11.38, 0.64, 0.89, 10.38, 3.76, , 1.18, , 
403, GP02-297313, European Patent    AGC (J), 2010, A2202207, 65.4, 5.0, 7.2, 3.0, 6.4, 3.5, , 0.77, , 
404, GP02-297314, European Patent    AGC (J), 2010, A2202207, 57.5, 7.4, 4.5, 4.3, 4.9, 4.5, , 0.75, , 
405, GP02-297315, European Patent    AGC (J), 2010, A2202207, 58.0, 7.5, 4.5, 5.1, 4.9, 4.5, , 0.76, , 
406, GP02-297316, European Patent    AGC (J), 2010, A2202207, 57.3, 7.4, 5.7, 3.3, 4.8, 4.5, , 0.72, , 
407, GP02-297317, European Patent    AGC (J), 2010, A2202207, 56.2, 14.1, 6.0, 6.0, 8.0, 3.0, , 0.73, , 
408, GP02-297318, European Patent    AGC (J), 2010, A2202207, 59.5, 7.1, 3.2, 5.2, 3.5, 7.6, , 0.69, , 
409, GP02-297319, European Patent    AGC (J), 2010, A2202207, 62.2, 9.6, 4.6, 6.4, 5.3, 7.4, , 0.69, , 
410, GJ02-297712, J. Non-Crystalline Solids, 2010, v. 356  p. 001768, *, , , *, *, , , 0.75, , 
411, GJ02-297713, J. Non-Crystalline Solids, 2010, v. 356  p. 001768, *, , , , *, , , 0.71, , 
412, GJ06-297716, J. Non-Crystalline Solids, 2010, v. 356  p. 001768, *, *, , , , , , 0.84, , 
413, GJ02-298020, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.15, , , 9.35, 15.5, , , 0.72, , 
414, GJ02-298021, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.65, , 1.69, 7.06, 15.6, , , 0.74, 0.8180084275509176, -0.07800842755091764
415, GJ02-298022, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.89, , 2.55, 5.9, 15.66, , , 0.76, 0.8321046292347792, -0.07210462923477923
416, GJ02-298023, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 76.14, , 3.41, 4.74, 15.71, , , 0.77, 0.8462434621987589, -0.07624346219875888
417, GJ02-298024, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 76.25, , 3.75, 4.27, 15.73, , , 0.79, 0.8520641035980052, -0.06206410359800518
418, GJ02-298025, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 76.4, , 4.27, 3.57, 15.76, , , 0.86, 0.860585765592536, -5.857655925359806E-4
419, GJ02-298026, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 76.56, , 4.79, 2.86, 15.79, , , 0.9, 0.8693108980168603, 0.030689101983139677
420, GJ02-298027, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 76.67, , 5.14, 2.38, 15.81, , , 0.93, 0.8752274449564621, 0.05477255504353795
421, GJ02-298028, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 77.18, , 6.9, , 15.92, , , 1.07, 0.9042530426253225, 0.1657469573746776
422, GJ02-298029, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 62.08, , 4.46, , , 27.8, , 1.03, , 
423, GJ02-298030, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 60.81, , 3.64, , , 27.24, , 1.02, , 
424, GJ02-298031, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 59.59, , 2.86, , , 26.69, , 0.91, , 
425, GJ02-298032, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 59.12, , 2.55, , , 26.48, , 0.8, , 
426, GJ02-298033, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 58.42, , 2.1, , , 26.17, , 0.78, , 
427, GJ02-298034, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 57.31, , 1.37, , , 25.66, , 0.76, , 
428, GJ02-298035, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 55.18, , , , , 24.71, , 0.64, , 
429, GJ02-298036, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 57.26, , , 8.22, , 34.52, , 0.64, 0.9525539679628265, -0.31255396796282653
430, GJ02-298037, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 57.59, , 1.49, 6.2, , 34.72, , 0.66, 0.978053462680267, -0.318053462680267
431, GJ02-298038, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 57.85, , 2.69, 4.57, , 34.89, , 0.72, 0.998673146965636, -0.27867314696563605
432, GJ02-298039, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 58.27, , 4.51, 2.09, , 35.13, , 0.82, 1.0300677673872163, -0.21006776738721633
433, GJ02-298040, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 58.9, , , 12.69, , 28.41, , 0.67, 0.8485994930580676, -0.17859949305806755
434, GJ02-298041, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 60.07, , , 12.94, 3.81, 23.18, , 0.65, 0.816139822072321, -0.16613982207232103
435, GJ02-298042, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 61.28, , , 13.2, 7.78, 17.74, , 0.63, 0.7823476619285545, -0.15234766192855453
436, GJ02-298043, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 61.92, , , 13.33, 9.82, 14.93, , 0.62, 0.7650255734247354, -0.14502557342473543
437, GJ02-298044, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 62.55, , , 13.47, 11.91, 12.07, , 0.61, 0.74718044898426, -0.13718044898425996
438, GJ02-298045, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 63.86, , , 13.76, 16.22, 6.16, , 0.7, 0.7103281684281516, -0.010328168428151652
439, GJ02-298046, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 65.24, , , 14.05, 20.71, , , 0.73, 0.6721764792985664, 0.057823520701433595
440, GJ02-298047, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 69.55, , , 8.65, , 21.8, , 0.75, 0.9167342628465731, -0.1667342628465731
441, GJ02-298048, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 70.6, , , 8.78, 2.91, 17.71, , 0.69, 0.8929791798519628, -0.2029791798519629
442, GJ02-298049, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 71.69, , , 8.92, 5.91, 13.48, , 0.69, 0.8683389994089376, -0.1783389994089376
443, GJ02-298050, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 72.24, , , 8.99, 7.45, 11.32, , 0.68, 0.855752615871311, -0.17575261587131097
444, GJ02-298051, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 72.8, , , 9.06, 9.01, 9.13, , 0.61, 0.8430171243096828, -0.2330171243096828
445, GJ02-298052, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 73.96, , , 9.2, 12.2, 4.64, , 0.59, 0.8170136221918103, -0.22701362219181032
446, GJ02-298053, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.15, , , 9.35, 15.5, , , 0.64, 0.7900184782440294, -0.15001847824402936
447, GJ02-298054, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 70.38, , , 14.07, 15.55, , , 0.68, 0.6937672789799665, -0.013767278979966435
448, GJ02-298055, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 66.54, , , 7.73, 25.73, , , 0.74, 0.7793688883099772, -0.0393688883099772
449, GJ02-298056, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 67.03, , , 15.66, 17.31, , , 0.7, 0.6539123753416802, 0.046087624658319726
450, GJ02-298057, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 66.01, , , , 33.99, , , 0.97, 0.9014380931642623, 0.06856190683573771
451, GP02-299791, US Patent    Central Glass (J), 2010, A0273635, 67.1, 1.2, 10.2, 1.4, 4.1, 12.5, , 0.79, , 
452, GP02-299792, US Patent    Central Glass (J), 2010, A0273635, 65.1, 0.9, 10.4, 1.9, 3.1, 10.9, , 0.77, , 
453, GP02-299793, US Patent    Central Glass (J), 2010, A0273635, 66.9, 1.2, 11.1, 0.2, 4.1, 13.6, , 0.79, , 
454, GP02-299794, US Patent    Central Glass (J), 2010, A0273635, 65.5, 1.3, 10.9, 2.8, 2.9, 12.4, , 0.7, , 
455, GP02-299795, US Patent    Central Glass (J), 2010, A0273635, 64.4, 1.3, 10.7, 2.7, 4.6, 10.4, , 0.7, , 
456, GP02-299796, US Patent    Central Glass (J), 2010, A0273635, 65.6, 1.7, 9.8, 2.3, 3.8, 6.5, , 0.72, , 
457, GP02-299797, US Patent    Central Glass (J), 2010, A0273635, 67.5, 1.2, 10.2, 2.1, 3.6, 11.2, , 0.82, , 
458, GP02-299798, US Patent    Central Glass (J), 2010, A0273635, 65.8, 1.7, 9.8, 2.3, 4.3, 7.3, , 0.71, , 
459, GP02-299799, US Patent    Central Glass (J), 2010, A0273635, 64.3, 2.2, 10.1, 2.8, 5.7, 8.8, , 0.67, , 
460, GP02-299800, US Patent    Central Glass (J), 2010, A0273635, 65.3, 1.7, 10.5, 3.2, 3.0, 11.5, , 0.76, , 
461, GP02-300043, European Patent    Central Glass (J), 2010, A2233445, 67.1, 1.2, 10.2, 1.4, 4.1, 12.5, , 0.79, , 
462, GP02-300044, European Patent    Central Glass (J), 2010, A2233445, 65.1, 0.9, 10.4, 1.9, 3.1, 10.9, , 0.77, , 
463, GP02-300045, European Patent    Central Glass (J), 2010, A2233445, 66.9, 1.2, 11.1, 0.2, 4.1, 13.6, , 0.79, , 
464, GP02-300046, European Patent    Central Glass (J), 2010, A2233445, 65.5, 1.3, 10.9, 2.8, 2.9, 12.4, , 0.7, , 
465, GP02-300047, European Patent    Central Glass (J), 2010, A2233445, 64.4, 1.3, 10.7, 2.7, 4.6, 10.4, , 0.7, , 
466, GP02-300048, European Patent    Central Glass (J), 2010, A2233445, 65.6, 1.7, 9.8, 2.3, 3.8, 6.5, , 0.72, , 
467, GP02-300049, European Patent    Central Glass (J), 2010, A2233445, 67.5, 1.2, 10.2, 2.1, 3.6, 11.2, , 0.82, , 
468, GP02-300050, European Patent    Central Glass (J), 2010, A2233445, 65.8, 1.7, 9.8, 2.3, 4.3, 7.3, , 0.71, , 
469, GP02-300051, European Patent    Central Glass (J), 2010, A2233445, 64.3, 2.2, 10.1, 2.8, 5.7, 8.8, , 0.67, , 
470, GP02-300052, European Patent    Central Glass (J), 2010, A2233445, 65.3, 1.7, 10.5, 3.2, 3.0, 11.5, , 0.76, , 
471, GP02-301880, Japanese Patent    AGC (J), 2011, A123924, 58.64, 20.89, 1.91, , 6.64, 4.45, , 0.94, , 
472, GP02-301881, Japanese Patent    AGC (J), 2011, A123924, 60.9, 19.22, , , 5.36, 5.03, , 0.93, , 
473, GP02-301882, Japanese Patent    AGC (J), 2011, A123924, 72.8, 1.89, 3.73, 8.12, 13.14, 0.32, , 0.78, 0.7793410412729534, 6.589587270465769E-4
474, GP02-301883, Japanese Patent    AGC (J), 2011, A123924, 64.19, 13.97, , , 10.89, , , 0.88, , 
475, GP02-301884, Japanese Patent    AGC (J), 2011, A123924, 57.33, 20.4, 1.86, , 4.77, 7.25, , 0.89, , 
476, GP02-301885, Japanese Patent    AGC (J), 2011, A123924, 55.95, 19.91, 1.82, , 9.31, 7.07, , 0.78, , 
477, GP02-301886, Japanese Patent    AGC (J), 2011, A123924, 54.64, 19.44, 1.77, , 4.54, 13.81, , 0.72, , 
478, GP02-301887, Japanese Patent    AGC (J), 2011, A123924, 55.97, 19.92, 1.82, , 6.24, 9.34, , 0.81, , 
479, GP02-301888, Japanese Patent    AGC (J), 2011, A123924, 56.62, 20.15, 1.84, , 7.07, 7.16, , 0.85, , 
480, GP02-301889, Japanese Patent    AGC (J), 2011, A123924, 57.06, 20.3, 1.85, , 5.69, 7.21, , 0.83, , 
481, GJ02-304166, J. Ceramic Soc. Japan, 2011, v. 119  p. 000110, *, , , *, *, , , 0.75, , 
482, GP02-305471, Japanese Patent    Konica Minolta (J), 2011, A251854, 58.0, 5.0, 2.0, 7.0, 1.0, 7.0, , 0.95, , 
483, GP02-305474, Japanese Patent    Konica Minolta (J), 2011, A251854, 61.6, 4.8, 2.2, 11.4, 3.2, 10.3, , 1.16, , 
484, GP02-305475, Japanese Patent    Konica Minolta (J), 2011, A251854, 62.4, 0.7, 4.1, 11.2, 3.3, 8.9, , 0.85, , 
485, GP02-305476, Japanese Patent    Konica Minolta (J), 2011, A251854, 63.8, , 2.0, 7.9, 1.1, 14.8, , 1.05, , 
486, GP02-306218, US Patent    AGC (J), 2011, A0312483, 58.64, 20.89, 1.91, , 6.64, 4.45, , 0.94, , 
487, GP02-306219, US Patent    AGC (J), 2011, A0312483, 60.9, 19.22, , , 5.36, 5.03, , 0.93, , 
488, GP02-306220, US Patent    AGC (J), 2011, A0312483, 57.33, 20.4, 1.86, , 4.77, 7.25, , 0.89, , 
489, GP02-306221, US Patent    AGC (J), 2011, A0312483, 59.29, 18.22, 1.88, , 4.82, 7.32, , 0.87, , 
490, GP02-306222, US Patent    AGC (J), 2011, A0312483, 61.29, 16.0, 1.9, , 4.86, 7.39, , 0.88, , 
491, GP02-306223, US Patent    AGC (J), 2011, A0312483, 63.73, 16.63, 1.97, 3.66, 10.11, , , 0.88, , 
492, GP02-306224, US Patent    AGC (J), 2011, A0312483, 55.97, 19.92, 1.82, , 6.24, 9.34, , 0.81, , 
493, GP02-306225, US Patent    AGC (J), 2011, A0312483, 55.95, 19.91, 1.82, , 9.31, 7.07, , 0.78, , 
494, GP02-306226, US Patent    AGC (J), 2011, A0312483, 54.64, 19.44, 1.77, , 4.54, 13.81, , 0.72, , 
495, GP02-306227, US Patent    AGC (J), 2011, A0312483, 65.41, 11.43, 1.94, , 4.96, 7.54, , 0.82, , 
496, GP02-306410, European Patent    AGC (J), 2011, A2397449, 58.64, 20.89, 1.91, , 6.64, 4.45, , 0.94, , 
497, GP02-306411, European Patent    AGC (J), 2011, A2397449, 60.9, 19.22, , , 5.36, 5.03, , 0.93, , 
498, GP02-306412, European Patent    AGC (J), 2011, A2397449, 57.33, 20.4, 1.86, , 4.77, 7.25, , 0.89, , 
499, GP02-306413, European Patent    AGC (J), 2011, A2397449, 59.29, 18.22, 1.88, , 4.82, 7.32, , 0.87, , 
500, GP02-306414, European Patent    AGC (J), 2011, A2397449, 61.29, 16.0, 1.9, , 4.86, 7.39, , 0.88, , 
501, GP02-306415, European Patent    AGC (J), 2011, A2397449, 63.73, 16.63, 1.97, 3.66, 10.11, , , 0.88, , 
502, GP02-306416, European Patent    AGC (J), 2011, A2397449, 55.97, 19.92, 1.82, , 6.24, 9.34, , 0.81, , 
503, GP02-306417, European Patent    AGC (J), 2011, A2397449, 55.95, 19.91, 1.82, , 9.31, 7.07, , 0.78, , 
504, GP02-306418, European Patent    AGC (J), 2011, A2397449, 54.64, 19.44, 1.77, , 4.54, 13.81, , 0.72, , 
505, GP02-306419, European Patent    AGC (J), 2011, A2397449, 65.41, 11.43, 1.94, , 4.96, 7.54, , 0.82, , 
506, GP02-307210, Japanese Patent    AGC (J), 2012, A020921, 58.64, 20.89, 1.91, , 6.64, 4.45, , 0.94, , 
507, GP02-307211, Japanese Patent    AGC (J), 2012, A020921, 60.9, 19.22, , , 5.36, 5.03, , 0.93, , 
508, GP02-307212, Japanese Patent    AGC (J), 2012, A020921, 57.33, 20.4, 1.86, , 4.77, 7.25, , 0.89, , 
509, GP02-307213, Japanese Patent    AGC (J), 2012, A020921, 59.29, 18.22, 1.88, , 4.82, 7.32, , 0.87, , 
510, GP02-307214, Japanese Patent    AGC (J), 2012, A020921, 61.29, 16.0, 1.9, , 4.86, 7.39, , 0.88, , 
511, GP02-307215, Japanese Patent    AGC (J), 2012, A020921, 63.73, 16.63, 1.97, 3.66, 10.11, , , 0.88, , 
512, GP02-307216, Japanese Patent    AGC (J), 2012, A020921, 55.9, 19.89, 1.82, , 6.23, 9.46, , 0.81, , 
513, GP02-307217, Japanese Patent    AGC (J), 2012, A020921, 55.95, 19.91, 1.82, , 9.31, 7.07, , 0.78, , 
514, GP02-307218, Japanese Patent    AGC (J), 2012, A020921, 54.64, 19.44, 1.77, , 4.54, 13.81, , 0.72, , 
515, GP02-307219, Japanese Patent    AGC (J), 2012, A020921, 65.41, 11.43, 1.94, , 4.96, 7.54, , 0.82, , 
516, GJ02-308375, J. Non-Crystalline Solids, 2012, v. 358  p. 001474, 75.1, , , , , , , 1.4, , 
517, GJ02-308376, J. Non-Crystalline Solids, 2012, v. 358  p. 001474, 70.4, , , , 12.1, , , 1.4, , 
518, GJ02-308377, J. Non-Crystalline Solids, 2012, v. 358  p. 001474, 66.24, , , , 22.78, , , 1.35, , 
519, GJ02-308378, J. Non-Crystalline Solids, 2012, v. 358  p. 001474, 62.56, , , , 32.26, , , 1.1, , 
520, GJ02-308379, J. Non-Crystalline Solids, 2012, v. 358  p. 001474, 59.25, , , , 40.75, , , 0.8, 0.8726193478043595, -0.07261934780435941
521, GJ02-310193, J. Non-Crystalline Solids, 2012, v. 358  p. 003473, *, *, , *, , , , 0.75, , 
522, GP02-315165, US Patent    AGC (J), 2014, A8691711, 58.64, 20.89, 1.91, , 6.64, 4.45, , 1.6, , 
523, GP02-315166, US Patent    AGC (J), 2014, A8691711, 60.9, 19.22, , , 5.36, 5.03, , 1.7, , 
524, GP02-315167, US Patent    AGC (J), 2014, A8691711, 57.33, 20.4, 1.86, , 4.77, 7.25, , 1.4, , 
525, GP02-315168, US Patent    AGC (J), 2014, A8691711, 59.29, 18.22, 1.88, , 4.82, 7.32, , 1.3, , 
526, GP02-315169, US Patent    AGC (J), 2014, A8691711, 61.29, 16.0, 1.9, , 4.86, 7.39, , 1.3, , 
527, GP02-315170, US Patent    AGC (J), 2014, A8691711, 63.73, 16.63, 1.97, 3.66, 10.11, , , 1.3, , 
528, GP02-315171, US Patent    AGC (J), 2014, A8691711, 55.97, 19.92, 1.82, , 6.24, 9.34, , 1.0, , 
529, GP02-315172, US Patent    AGC (J), 2014, A8691711, 55.95, 19.91, 1.82, , 9.31, 7.07, , 0.7, , 
530, GP02-315174, US Patent    AGC (J), 2014, A8691711, 65.41, 11.43, 1.94, , 4.96, 7.54, , 1.0, , 
531, GP02-340132, US Patent    Others, 2012, A0183812, 68.13, 10.22, 3.01, 4.51, 2.0, 3.21, , 1.09, , 
532, GP02-340133, US Patent    Others, 2012, A0183812, 68.08, 10.22, 3.0, 4.5, 2.1, 3.2, , 1.25, , 
533, GP02-340134, US Patent    Others, 2012, A0183812, 68.0, 10.2, 3.0, 4.5, 2.2, 3.2, , 1.15, , 
534, GP02-340136, US Patent    Others, 2012, A0183812, 64.03, 13.11, , , 2.54, 7.11, , 1.08, , 
535, GP02-340137, US Patent    Others, 2012, A0183812, 70.8, 4.99, , 3.19, 2.69, 2.19, , 1.19, , 
536, GP02-340138, US Patent    Others, 2012, A0183812, 69.85, 5.99, , 3.19, 2.59, 2.2, , 1.26, , 
537, GP02-340139, US Patent    Others, 2012, A0183812, 71.21, 6.1, , 3.26, 2.85, 2.24, , 1.2, , 
538, GP02-340141, US Patent    Others, 2012, A0183812, 63.94, 12.73, , 3.43, 3.03, 2.22, , 1.27, , 
539, GP02-340142, US Patent    Others, 2012, A0183812, 64.06, 12.65, , 3.44, 3.14, 2.23, , 1.19, , 
540, GP02-340145, US Patent    Others, 2012, A0183812, 65.63, 13.12, 6.77, , 3.23, 2.29, , 1.2, , 
541, GP02-340146, US Patent    Others, 2012, A0183812, 68.08, 10.22, 2.5, 4.5, 2.1, 3.7, , 1.17, , 
542, GP02-340147, US Patent    Others, 2012, A0183812, 67.08, 11.62, 2.5, 4.1, 2.1, 3.7, , 1.19, , 
543, GP02-340148, US Patent    Others, 2012, A0183812, 67.0, 11.6, 2.5, 4.1, 2.2, 3.7, , 1.15, , 
544, GP02-342495, Japanese Patent    Corning Inc. (US), 2015, AW031427, 45.11, 20.86, 0.2, 2.78, 12.29, 0.58, , 0.737, , 
545, GP06-343410, US Patent    Corning Inc. (US), 2019, A0084869, 41.63, 24.79, 2.44, , , , , 0.85, , 
