Search Condition
State,Glass
Composition
,Component Unit,mass%
,Numerical
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,Total of Main Components >=,90,%
Commercial Glass,null
Glass System,Alkali Silicate
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
Numerical
,Property,,,,Unit,min,max
,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, K2O, SO3, Fracture Toughness ( MPa.m1/2 ), Fracture Toughness (Predictive Value), Fracture Toughness (Residual)
74, GJ02-088397, J. Non-Crystalline Solids, 1980, v. 037  p. 0359, 69.34, , , , 30.65, , , 0.91, 0.9171884723452267, -0.007188472345226682
75, GJ02-088398, J. Non-Crystalline Solids, 1980, v. 037  p. 0359, 61.77, , , , 38.23, , , 1.03, 0.8833624303941457, 0.14663756960585428
76, GJ02-088399, J. Non-Crystalline Solids, 1980, v. 037  p. 0359, 54.23, , , , 45.77, , , 0.9, 0.8512184451850233, 0.0487815548149767
77, GI02-095962, Proc. ICG, 2001, v. 002  p. 0233, 65.98, , , , 34.02, , , 1.06, 0.9013101993239078, 0.15868980067609229
78, GI02-095963, Proc. ICG, 2001, v. 002  p. 0233, 63.18, , , , 24.44, 12.38, , 1.24, 0.9684978603895553, 0.27150213961044467
79, GI02-095964, Proc. ICG, 2001, v. 002  p. 0233, 60.61, , , , 15.63, 23.76, , 1.41, 1.0302747307607047, 0.37972526923929517
80, GI02-095965, Proc. ICG, 2001, v. 002  p. 0233, 58.25, , , , 7.51, 34.24, , 1.47, 1.0871946788908413, 0.38280532110915866
81, GI02-095966, Proc. ICG, 2001, v. 002  p. 0233, 56.06, , , , , 43.94, , 1.28, 1.139854136875958, 0.14014586312404198
82, GI02-095967, Proc. ICG, 2001, v. 002  p. 0233, 70.02, , , 9.34, 20.64, , , 0.71, , 
83, GJ03-112001, J. American Ceramic Soc., 1990, v. 073  p. 0164, 45.07, , , 24.49, 24.45, , , 0.7, , 
84, GP09-123952, Japanese Patent    Nippon Sheet Glass (J), 1992, A310540, 41.9, , , , 8.6, , , 2.3, , 
85, GJ02-140954, J. Materials Science, 1991, v. 026  p. 6501, 65.61, , , , 16.89, 17.5, , 0.92, 1.0115807693608276, -0.0915807693608276
86, GJ02-140955, J. Materials Science, 1991, v. 026  p. 6501, 67.98, , , , 15.61, 16.41, , 0.94, 1.0147178546992746, -0.07471785469927461
87, GJ02-140956, J. Materials Science, 1991, v. 026  p. 6501, 69.91, , , , 14.87, 15.22, , 0.95, 1.015340032698801, -0.06534003269880095
88, GJ02-140957, J. Materials Science, 1991, v. 026  p. 6501, 71.51, , , , 13.51, 14.98, , 0.96, 1.0206271230847792, -0.060627123084779244
89, GJ02-140958, J. Materials Science, 1991, v. 026  p. 6501, 74.72, , , , 12.4, 12.88, , 0.99, 1.020890012714566, -0.03089001271456593
90, GJ02-141505, J. Materials Science, 1993, v. 028  p. 3014, 70.81, 1.72, 4.07, 5.66, 17.74, , , 0.85, 0.8060150326742097, 0.04398496732579027
91, GJ03-147093, J. American Ceramic Soc., 1991, v. 074  p. 1803, 45.07, , , 24.49, 24.45, , , 0.7, , 
92, GJ02-178201, J. American Ceramic Soc., 1998, v. 081  p. 2485, 79.89, , , 4.66, 15.45, , , 0.9, , 
93, GJ02-178202, J. American Ceramic Soc., 1998, v. 081  p. 2485, 80.28, , , 9.37, 10.35, , , 0.92, , 
94, GJ02-178203, J. American Ceramic Soc., 1998, v. 081  p. 2485, 74.78, , , 4.65, 20.57, , , 0.83, , 
95, GJ02-178204, J. American Ceramic Soc., 1998, v. 081  p. 2485, 75.15, , , 9.35, 15.5, , , 0.88, , 
96, GJ02-178205, J. American Ceramic Soc., 1998, v. 081  p. 2485, 75.52, , , 14.1, 10.39, , , 0.88, 0.7136430766100852, 0.1663569233899148
97, GJ02-178206, J. American Ceramic Soc., 1998, v. 081  p. 2485, 70.03, , , 9.34, 20.64, , , 0.8, 0.7667979390715844, 0.0332020609284156
98, GJ02-185124, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 77.05, , , , , 15.89, , 0.94, , 
99, GJ02-185125, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 77.82, 3.39, 3.35, , 15.44, , , 0.93, , 
100, GJ02-185126, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 71.65, 1.56, , , 6.63, 20.16, , 0.73, 1.0557611253728452, -0.3257611253728452
101, GJ02-185127, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 77.62, 3.38, 2.67, 0.93, 15.4, , , 0.93, 0.9217364134601936, 0.008263586539806411
102, GJ02-185128, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 76.81, 3.34, 2.64, 0.92, 13.2, 3.09, , 0.92, 0.9383513968451898, -0.018351396845189716
