,SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Young
150,61.33,19.62,1.52,0.03,13.07,0.01,0.0,69.5934
151,61.47,19.53,1.49,0.03,12.88,0.01,0.0,69.1449
152,61.6,18.0,3.0,0.0,14.5,2.0,0.0,71.0
153,62.1,21.5,1.3,0.0,14.7,0.0,0.0,70.0
154,60.87,19.82,2.04,0.04,13.19,0.04,0.0,69.7314
155,61.97,18.81,1.72,0.42,13.18,0.01,0.0,71.2356
156,61.59,19.48,1.29,0.03,12.85,0.01,0.0,71.0631
157,61.78,19.53,1.48,0.03,12.8,0.01,0.0,69.4002
158,60.95,19.27,1.85,0.1,12.65,0.95,0.0,70.6008
159,61.41,19.63,1.12,0.05,13.16,0.04,0.0,68.2617
160,59.5,19.3,1.0,2.0,15.1,2.1,0.0,72.0
161,59.4,18.7,2.9,1.0,15.0,2.0,0.0,72.0
162,60.8,18.0,3.0,0.0,15.1,2.1,0.0,71.0
163,61.5,18.0,3.0,0.0,14.5,2.0,0.0,71.0
164,61.0,21.0,2.0,0.0,15.5,0.0,0.0,70.0
165,59.1,21.0,2.0,0.0,16.4,0.0,0.0,70.0
166,62.28,18.76,0.0,3.29,11.4,0.0,0.0,69.8763
167,60.62,19.31,0.0,0.0,15.59,0.0,0.0,70.0
168,62.56,17.69,5.09,0.0,14.66,0.0,0.0,72.0
169,64.94,17.82,6.41,0.0,10.83,0.0,0.0,75.0
170,59.61,18.1,5.02,0.0,15.35,0.0,0.0,75.0
171,59.1,18.81,4.96,0.0,13.34,0.0,0.0,75.0
172,60.73,19.81,5.01,0.0,13.49,0.0,0.0,76.0
173,61.7,19.8,1.5,0.0,13.2,0.0,0.0,68.0
174,59.56,18.16,5.0,0.0,15.36,0.0,0.0,75.2
175,60.1,19.12,5.04,0.0,13.56,0.0,0.0,71.5
176,59.03,17.88,3.0,1.0,12.09,5.0,0.0,72.0
177,58.44,20.38,1.0,2.0,15.08,2.1,0.0,72.0
178,60.3,18.9,2.9,0.0,15.1,0.0,0.0,70.0
179,59.93,17.98,3.0,0.0,14.19,0.0,0.0,69.0
180,58.63,19.38,3.0,1.0,14.89,2.1,0.0,72.0
181,60.9,19.9,2.0,0.0,14.7,0.0,0.0,69.0
182,61.6,17.9,3.0,0.0,14.6,2.0,0.0,71.0
183,60.0,21.0,2.0,0.0,15.5,0.0,0.0,70.0
184,58.75,23.01,1.82,0.0,12.96,0.14,0.0,69.0276
185,60.13,22.55,3.15,0.0,14.17,0.0,0.0,73.6299
186,60.0,19.0,2.9,0.0,10.1,3.1,0.0,69.0
187,61.1,18.9,2.0,0.0,13.6,1.5,0.0,70.0
188,59.0,23.0,2.0,0.0,14.5,0.0,0.0,71.0
189,61.33,17.98,3.0,0.0,14.49,2.0,0.0,71.0
190,58.49,22.77,2.51,0.03,12.55,0.28,0.0,71.691
191,61.0,20.95,1.57,0.03,12.67,0.0,0.0,69.345
192,61.38,20.8,1.77,0.03,12.27,0.01,0.0,69.621
193,61.3,20.6,1.9,0.03,12.45,0.0,0.0,69.414
194,60.3,21.0,1.21,0.03,12.47,0.03,0.0,67.689
195,62.1,21.5,1.3,0.0,14.7,0.0,0.0,71.0
196,59.0,19.9,1.9,1.0,15.1,2.1,0.0,72.0
