SiO2,MgO,Na2O,Al2O3,CaO,Density
50.86, , 42.43, 6.71, ,2548.0
50.89, , 39.54, 9.57, ,2541.0
50.95, , 44.17, 4.88, ,2553.0
55.25, , 34.92, 9.83, ,2518.0
55.56, , 37.5, 6.94, ,2526.0
55.66, , 34.66, 9.68, ,2516.0
55.8, , 41.32, 2.88, ,2536.0
55.94, , 39.23, 4.83, ,2530.0
60.45, , 29.71, 9.84, ,2490.0
60.68, , 34.46, 4.86, ,2503.0
60.76, , 36.42, 2.82, ,2511.0
60.78, , 38.13, 1.09, ,2517.0
60.88, , 29.53, 9.59, ,2489.0
60.97, , 32.46, 6.57, ,2498.0
64.78, , 34.2, 1.02, ,2492.0
65.1, , 24.94, 9.96, ,2462.0
65.7, , 29.55, 4.75, ,2475.0
65.88, , 24.69, 9.43, ,2458.0
65.9, , 31.23, 2.87, ,2483.0
65.92, , 31.67, 2.41, ,2481.0
66.36, , 31.61, 2.03, ,2481.0
67.21, , 28.34, 4.45, ,2465.0
67.75, , 29.3, 2.95, ,2468.0
68.1, , 25.15, 6.75, ,2454.0
68.78, , 25.45, 5.77, ,2453.0
69.99, , 29.04, 0.97, ,2461.0
70.11, , 27.86, 2.03, ,2457.0
70.3, , 24.84, 4.86, ,2445.0
70.63, , 24.45, 4.92, ,2443.0
70.84, , 26.31, 2.85, ,2451.0
70.88, , 22.63, 6.49, ,2434.0
71.08, , 19.6, 9.32, ,2421.0
73.15, , 25.87, 0.98, ,2440.0
73.81, , 21.5, 4.69, ,2418.0
74.75, , 24.27, 0.98, ,2428.0
74.88, , 22.12, 3.0, ,2416.0
74.95, , 23.98, 1.07, ,2423.0
74.98, , 23.02, 2.0, ,2419.0
75.21, , 19.67, 5.12, ,2403.0
75.48, , 19.7, 4.82, ,2402.0
75.61, , 21.54, 2.85, ,2412.0
77.71, , 21.36, 0.93, ,2401.0
62.1, , 32.8, 5.1, ,2497.0
56.3, , 29.6, 14.1, ,2497.0
51.5, , 26.9, 21.6, ,2503.0
46.7, , 25.3, 28.0, ,2502.0
44.9, , 22.1, 33.0, ,2503.0
42.6, , 21.9, 35.5, ,2498.0
39.9, , 21.8, 38.3, ,2503.0
38.8, , 20.8, 40.4, ,2505.0
50.0, 47.8, , , 2.2,2777.0
50.0, 45.6, , , 4.4,2879.0
50.0, 36.5, , , 13.5,2820.0
44.0, 32.7, , , 23.3,2920.0
50.0, 31.7, , , 18.3,2835.0
50.0, 25.0, , , 25.0,2854.0
50.0, 21.7, , , 28.3,2858.0
40.8, 20.3, , , 38.9,2967.0
50.0, 19.7, , , 30.3,2872.0
50.0, 14.4, , , 35.6,2881.0
50.0, 8.4, , , 41.6,2892.0
44.2, 4.9, , , 50.9,2953.0
50.0, 2.8, , , 47.2,2899.0
62.92, 25.31, , 11.77, ,2558.0
65.89, 18.7, , 15.4, ,2519.0
67.78, 18.5, , 13.72, ,2497.0
69.62, 18.31, , 12.06, ,2481.0
69.4, 16.23, , 14.37, ,2487.0
68.69, 15.75, , 15.56, ,2500.0
69.39, 15.0, , 15.6, ,2487.0
71.27, 14.84, , 13.89, ,2469.0
71.57, 13.43, , 14.99, ,2465.0
73.04, 12.62, , 14.34, ,2452.0
69.15, 11.45, , 19.4, ,2498.0
72.99, 11.2, , 15.81, ,2456.0
76.67, 10.96, , 12.38, ,2410.0
18.92, , , 40.64, 40.44,2847.0
24.5, , , 36.1, 39.4,2827.0
35.0, , , 27.5, 37.5,2805.0
46.5, , , 16.3, 37.2,2800.0
44.5, , , 19.7, 35.8,2760.0
53.25, , , 12.51, 34.23,2763.0
47.6, , , 19.1, 33.3,2772.0
61.2, , , 6.0, 32.8,2728.0
65.0, , , 2.9, 32.1,2661.0
41.2, , , 29.4, 29.4,2754.0
48.8, , , 21.9, 29.3,2735.0
44.4, , , 27.8, 27.8,2735.0
49.4, , , 23.4, 27.2,2720.0
42.1, , , 31.6, 26.3,2748.0
47.4, , , 26.3, 26.3,2722.0
46.2, , , 28.2, 25.6,2731.0
48.1, , , 26.6, 25.3,2714.0
50.0, , , 25.0, 25.0,2704.0
53.6, , , 22.0, 24.4,2686.0
57.1, , , 19.1, 23.8,2661.0
60.5, , , 16.3, 23.2,2641.0
50.6, , , 26.6, 22.8,2700.0
54.6, , , 22.7, 22.7,2671.0
63.7, , , 13.6, 22.7,2623.0
66.7, , , 11.1, 22.2,2593.0
58.4, , , 20.8, 20.8,2640.0
51.3, , , 28.2, 20.5,2688.0
60.0, , , 20.0, 20.0,2624.0
61.6, , , 19.2, 19.2,2605.0
65.0, , 35.0, , ,2419.0
70.0, , 30.0, , ,2459.0
75.0, , 25.0, , ,2419.0
50.0, , 37.0, 13.0, ,2510.0
55.0, , 30.0, 15.0, ,2470.0
80.0, , 20.0, , ,2410.0
60.0, , 30.0, 10.0, ,2501.0
82.0, , 10.0, , 8.0,2405.0
78.5, , 13.5, , 8.0,2421.0
76.0, , 16.0, , 8.0,2455.0
73.0, , 19.0, , 8.0,2449.0
70.5, , 21.5, , 8.0,2502.0
70.5, , 18.5, , 11.0,2548.0
80.0, , 10.0, , 10.0,2423.0
70.5, , 4.5, , 25.0,2563.0
76.5, , 10.0, , 13.5,2470.0
65.0, , 10.0, , 25.0,2622.0
72.5, , 10.0, , 17.5,2526.0
70.5, , 12.0, , 17.5,2528.0
70.5, , 10.0, , 19.5,2548.0
70.5, , 7.5, , 22.0,2567.0
78.5, , 10.0, , 11.5,2444.0
75.0, , 10.0, , 15.0,2490.0
62.5, , 10.0, , 27.5,2667.0
74.7, , 15.8, , 9.5,2497.0
70.2, , 11.2, , 18.6,2548.0
73.83, , 15.47, , 10.69,2496.0
73.83, , 15.47, , 10.69,2494.0
75.0, , 25.0, , ,2430.0
60.0, , , 10.0, 30.0,2690.0
60.0, 30.0, , 10.0, ,2610.0
40.0, , , 10.0, 50.0,2950.0
40.0, 50.0, , 10.0, ,2840.0
40.0, , , 15.0, 45.0,2870.0
45.0, , , 10.0, 45.0,2880.0
45.0, 45.0, , 10.0, ,2780.0
45.0, , , 15.0, 40.0,2830.0
45.0, 40.0, , 15.0, ,2770.0
45.0, , , 20.0, 35.0,2780.0
50.0, , , 10.0, 40.0,2810.0
50.0, 40.0, , 10.0, ,2720.0
50.0, , , 15.0, 35.0,2770.0
55.0, , , 5.0, 40.0,2810.0
55.0, 40.0, , 5.0, ,2670.0
55.0, , , 10.0, 35.0,2750.0
55.0, 35.0, , 10.0, ,2660.0
55.0, , , 15.0, 30.0,2720.0
60.0, , , 10.0, 30.0,2690.0
60.0, 30.0, , 10.0, ,2610.0
65.0, , , 10.0, 25.0,2630.0
65.0, 25.0, , 10.0, ,2550.0
50.0, , 50.0, , ,2579.0
55.0, , 45.0, , ,2551.0
60.0, , 40.0, , ,2526.0
65.0, , 35.0, , ,2499.0
70.0, , 30.0, , ,2469.0
75.0, , 25.0, , ,2437.0
82.7, , 17.3, , ,2360.0
80.49, , 19.5, , ,2390.0
86.0, , 14.0, , ,2328.0
85.0, , 15.0, , ,2338.0
84.0, , 16.0, , ,2348.0
83.0, , 17.0, , ,2358.0
82.0, , 18.0, , ,2364.0
81.0, , 19.0, , ,2373.0
80.0, , 20.0, , ,2389.0
79.0, , 21.0, , ,2397.0
78.0, , 22.0, , ,2406.0
77.0, , 23.0, , ,2414.0
76.0, , 24.0, , ,2423.0
75.0, , 25.0, , ,2438.0
85.0, , 15.0, , ,2330.0
80.79, , 19.21, , ,2382.0
75.0, , 25.0, , ,2434.0
83.73, , 16.27, , ,2370.0
80.0, , 20.0, , ,2219.0
75.0, , 25.0, , ,2419.0
70.0, , 30.0, , ,2459.0
65.0, , 35.0, , ,2491.0
80.49, , 19.5, , ,2390.0
65.4, , 34.6, , ,2496.0
62.1, , 32.8, 5.1, ,2497.0
56.3, , 29.6, 14.1, ,2497.0
51.5, , 26.9, 21.6, ,2503.0
46.7, , 25.3, 28.0, ,2502.0
44.9, , 22.1, 33.0, ,2503.0
42.6, , 21.9, 35.5, ,2498.0
39.9, , 21.8, 38.3, ,2503.0
38.8, , 20.8, 40.4, ,2505.0
70.0, , 20.5, 9.5, ,2445.0
80.0, , 20.0, , ,2388.0
60.0, , 20.0, 20.0, ,2463.0
82.45, , 17.55, , ,2375.0
79.9, , 17.96, 2.13, ,2396.0
77.91, , 18.17, 3.92, ,2406.0
75.23, , 18.93, 5.84, ,2418.0
75.08, , 17.09, 7.83, ,2428.0
73.4, , 17.14, 9.46, ,2442.0
70.84, , 17.94, 11.22, ,2411.0
68.76, , 19.58, 11.66, ,2432.0
86.62, , 6.7, 6.68, ,2296.0
83.3, , 8.37, 8.33, ,2319.0
79.96, , 10.04, 10.0, ,2338.0
77.77, , 11.13, 11.1, ,2356.0
75.0, , 12.5, 12.5, ,2376.0
68.74, , 11.82, 19.44, ,2384.0
72.63, 5.54, 13.87, 1.35, 6.6,2468.0
72.53, 5.39, 13.93, 1.39, 6.76,2466.0
72.62, 5.33, 13.88, 1.35, 6.82,2466.0
72.51, 5.49, 13.94, 1.33, 6.72,2462.0
71.51, 6.18, 14.17, 1.16, 6.98,2484.0
85.0, , , 15.0, ,2359.0
93.35, , 2.9, , 3.74,2260.0
73.46, , 14.18, 1.01, 11.35,2460.0
83.04, , 16.96, , ,2150.0
70.65, , 29.35, , ,2410.0
60.74, , 39.26, , ,2350.0
54.58, , 37.07, , 8.35,2280.0
73.34, , 15.96, , 10.69,2280.0
69.93, , 19.37, , 10.7,2200.0
68.07, , 21.22, , 10.71,2260.0
72.51, , 14.58, , 12.91,2230.0
64.61, , 18.61, , 16.78,2430.0
67.01, , 14.91, , 18.08,2450.0
60.03, , 19.23, , 20.73,2410.0
69.22, , 9.58, , 21.19,2230.0
62.22, , 13.02, , 24.76,2590.0
50.33, , 36.75, , 12.92,2641.0
50.72, , 42.08, , 7.19,2608.0
54.42, , 31.88, , 13.7,2624.0
56.39, , 33.07, , 10.53,2598.0
60.14, , 33.64, , 6.21,2572.0
58.98, , 37.73, , 3.29,2547.0
60.12, , 23.67, , 16.21,2607.0
63.26, , 23.62, , 13.12,2576.0
63.89, , 20.49, , 15.62,2585.0
64.84, , 26.08, , 9.08,2546.0
66.03, , 28.05, , 5.92,2523.0
66.35, , 21.04, , 12.61,2556.0
67.75, , 28.72, , 3.53,2500.0
67.99, , 21.81, , 10.2,2533.0
70.67, , 22.35, , 6.98,2498.0
71.69, , 13.7, , 14.61,2528.0
72.99, , 23.62, , 3.39,2464.0
73.87, , 14.72, , 11.41,2494.0
74.28, , 11.84, , 13.88,2496.0
75.33, , 14.76, , 9.9,2473.0
78.89, , 15.85, , 5.25,2419.0
80.81, , 15.71, , 3.48,2389.0
