SiO2,MgO,Na2O,Al2O3,CaO,Density
55.25,0.0,34.92,9.83,0.0,2518.0
55.56,0.0,37.5,6.94,0.0,2526.0
55.66,0.0,34.66,9.68,0.0,2516.0
55.8,0.0,41.32,2.88,0.0,2536.0
55.94,0.0,39.23,4.83,0.0,2530.0
60.45,0.0,29.71,9.84,0.0,2490.0
60.68,0.0,34.46,4.86,0.0,2503.0
60.76,0.0,36.42,2.82,0.0,2511.0
60.78,0.0,38.13,1.09,0.0,2517.0
60.88,0.0,29.53,9.59,0.0,2489.0
60.97,0.0,32.46,6.57,0.0,2498.0
64.78,0.0,34.2,1.02,0.0,2492.0
65.1,0.0,24.94,9.96,0.0,2462.0
65.7,0.0,29.55,4.75,0.0,2475.0
65.88,0.0,24.69,9.43,0.0,2458.0
65.9,0.0,31.23,2.87,0.0,2483.0
65.92,0.0,31.67,2.41,0.0,2481.0
66.36,0.0,31.61,2.03,0.0,2481.0
67.21,0.0,28.34,4.45,0.0,2465.0
67.75,0.0,29.3,2.95,0.0,2468.0
68.1,0.0,25.15,6.75,0.0,2454.0
68.78,0.0,25.45,5.77,0.0,2453.0
69.99,0.0,29.04,0.97,0.0,2461.0
70.11,0.0,27.86,2.03,0.0,2457.0
70.3,0.0,24.84,4.86,0.0,2445.0
70.63,0.0,24.45,4.92,0.0,2443.0
70.84,0.0,26.31,2.85,0.0,2451.0
70.88,0.0,22.63,6.49,0.0,2434.0
71.08,0.0,19.6,9.32,0.0,2421.0
73.15,0.0,25.87,0.98,0.0,2440.0
73.81,0.0,21.5,4.69,0.0,2418.0
74.75,0.0,24.27,0.98,0.0,2428.0
74.88,0.0,22.12,3.0,0.0,2416.0
74.95,0.0,23.98,1.07,0.0,2423.0
74.98,0.0,23.02,2.0,0.0,2419.0
75.21,0.0,19.67,5.12,0.0,2403.0
75.48,0.0,19.7,4.82,0.0,2402.0
75.61,0.0,21.54,2.85,0.0,2412.0
77.71,0.0,21.36,0.93,0.0,2401.0
62.1,0.0,32.8,5.1,0.0,2497.0
56.3,0.0,29.6,14.1,0.0,2497.0
51.5,0.0,26.9,21.6,0.0,2503.0
46.7,0.0,25.3,28.0,0.0,2502.0
44.9,0.0,22.1,33.0,0.0,2503.0
42.6,0.0,21.9,35.5,0.0,2498.0
39.9,0.0,21.8,38.3,0.0,2503.0
38.8,0.0,20.8,40.4,0.0,2505.0
50.0,47.8,0.0,0.0,2.2,2777.0
50.0,45.6,0.0,0.0,4.4,2879.0
50.0,36.5,0.0,0.0,13.5,2820.0
44.0,32.7,0.0,0.0,23.3,2920.0
50.0,31.7,0.0,0.0,18.3,2835.0
50.0,25.0,0.0,0.0,25.0,2854.0
50.0,21.7,0.0,0.0,28.3,2858.0
40.8,20.3,0.0,0.0,38.9,2967.0
50.0,19.7,0.0,0.0,30.3,2872.0
50.0,14.4,0.0,0.0,35.6,2881.0
50.0,8.4,0.0,0.0,41.6,2892.0
44.2,4.9,0.0,0.0,50.9,2953.0
50.0,2.8,0.0,0.0,47.2,2899.0
62.92,25.31,0.0,11.77,0.0,2558.0
65.89,18.7,0.0,15.4,0.0,2519.0
