SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Young
59.81,0.0,0.0,0.0,0.0,40.18,0.0,54.7
77.01,0.0,0.0,0.0,0.0,22.99,0.0,61.3
56.34,13.19,9.69,16.28,0.4,0.4,0.0,121.0
81.97,13.94,0.0,0.0,0.0,0.0,0.0,74.5
71.65,12.11,0.0,0.0,16.23,0.0,0.0,65.3
65.73,11.17,0.0,0.0,23.1,0.0,0.0,63.8
64.44,10.93,0.0,0.0,24.63,0.0,0.0,61.2
63.24,10.7,0.0,0.0,26.06,0.0,0.0,60.9
62.66,10.7,0.0,0.0,26.64,0.0,0.0,61.0
61.58,10.38,0.0,0.0,28.04,0.0,0.0,60.6
60.36,10.22,0.0,0.0,29.41,0.0,0.0,60.3
59.33,10.07,0.0,0.0,30.6,0.0,0.0,60.1
56.54,9.59,0.0,0.0,33.86,0.0,0.0,58.7
52.91,8.96,0.0,0.0,38.13,0.0,0.0,58.5
47.68,10.49,0.0,0.0,41.83,0.0,0.0,57.4
78.52,13.36,0.0,0.0,8.12,0.0,0.0,66.9
59.49,25.2,0.0,0.0,15.32,0.0,0.0,68.0
52.37,29.62,0.0,0.0,18.01,0.0,0.0,69.3
42.3,35.89,0.0,0.0,21.81,0.0,0.0,70.2
54.55,9.38,0.3,29.39,2.77,3.02,0.0,53.13
47.69,8.21,0.26,38.27,2.42,2.64,0.0,58.65
48.97,8.43,15.36,21.52,2.49,2.71,0.0,60.72
61.48,10.2,3.81,16.65,2.14,2.72,0.0,35.19
71.84,0.0,0.0,0.0,0.0,28.16,0.0,48.49
78.33,0.0,0.0,0.0,0.0,21.67,0.0,52.17
81.02,0.0,0.0,0.0,0.0,18.98,0.0,53.04
68.04,4.34,0.57,7.95,11.81,2.82,0.0,73.5
56.89,14.24,0.0,0.0,28.86,0.0,0.0,63.8
69.5,16.92,13.58,0.0,0.0,0.0,0.0,93.0
68.11,19.9,11.99,0.0,0.0,0.0,0.0,91.0
66.09,24.3,9.61,0.0,0.0,0.0,0.0,91.0
64.98,26.58,8.44,0.0,0.0,0.0,0.0,92.0
63.58,29.56,6.85,0.0,0.0,0.0,0.0,94.0
72.51,1.31,3.52,8.26,14.4,0.0,0.0,51.75
6.23,42.26,4.18,47.33,0.0,0.0,0.0,109.2
96.3,0.4,0.0,0.0,0.2,0.2,0.0,66.93
