SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Young
 72.69, , , , , 19.53, , 69.78
 69.38, , 11.97, , , 18.65, , 62.23
 66.28, , , 15.91, , 17.81, , 70.66
 58.4, , , , , 15.69, , 63.99
 51.95, , , , , 13.96, , 60.27
 61.84, , , , , 16.62, , 63.31
 55.0, , , , , 14.78, , 59.98
 48.45, 0.25, , , , , , 84.28
 73.41, 0.56, , 16.69, , , , 82.32
 66.97, 0.17, , , , , , 85.26
 60.12, 0.33, , , , , , 81.34
 59.38, 0.3, , , , , , 79.38
 58.64, 1.01, , , , , , 75.46
 67.8, 0.53, 11.16, , 20.5, , , 70.56
 66.31, 0.68, , 15.73, 17.28, , , 69.58
 62.14, 0.16, , , 16.46, , , 62.72
 59.92, 0.15, , , 15.06, , , 72.52
 57.75, 0.43, , , 14.91, , , 66.64
 71.92, 0.54, , , , 26.79, , 66.64
 61.62, 0.31, , 14.53, , 23.53, , 55.86
 56.5, 0.29, , , , 22.99, , 59.78
 56.54, 0.14, , , , 20.01, , 61.74
 50.97, 0.26, , , , 21.41, , 55.86
 51.18, 0.89, , , , 18.97, , 52.92
 42.27, , , , , 16.64, , 44.1
 73.03, , , , , 20.0, , 57.53
 67.22, , , , , 18.47, , 60.37
 60.98, , , , , 16.7, , 62.72
 49.38, , , , , 13.59, , 67.66
 66.86, , , , , 24.69, , 54.98
 60.46, , , , , 22.3, , 58.8
 53.78, , , , , 19.86, , 62.52
 46.9, , , , , 17.27, , 67.23
 43.76, , , , , 16.24, , 68.6
 60.05, , , , , 29.69, , 53.21
 56.75, , , , , 28.0, , 55.47
 53.33, , , , , 26.33, , 58.9
 49.93, , , , , 24.7, , 59.19
 46.53, , , , , 23.0, , 60.86
 43.17, , , , , 21.34, , 65.46
 40.53, , , , , 20.06, , 66.93
 53.63, , , , , 34.28, , 53.31
 46.63, , , , , 29.84, , 59.09
 39.86, , , , , 25.45, , 64.58
 72.26, , , , , 20.63, , 57.33
 73.37, , , , , 15.18, , 61.05
 77.91, , , , , 12.47, , 62.44
 59.92, , , , , 13.02, , 66.05
 68.24, , , , , 10.4, , 65.66
 76.55, , , , , 7.67, , 64.68
 , 1.42, , , 12.27, , , 41.9
 , 0.19, , , 14.29, , , 30.1
 , 2.69, , , 14.27, , , 33.4
 , 1.44, , , 18.29, , , 33.0
 , 1.34, , , 24.52, , , 36.4
 , 3.53, , , 36.42, , , 39.8
 , 1.99, , , , , , 46.3
 , 2.3, , , , , , 44.8
 , 1.65, , , , , , 38.7
 , 1.15, , , , , , 42.6
 , 1.1, , , , , , 45.5
 , 0.79, , , , , , 51.2
 71.65, 1.68, 1.68, 9.5, 13.66, 1.58, , 66.85
 70.2, 7.5, , 1.8, 9.5, 1.0, , 73.5
 80.16, 2.3, , , 3.51, 1.2, , 63.0
 94.47, , , , , 0.5, , 94.2
 67.5, 2.5, , 7.0, 14.0, , , 65.3
 68.69, 3.89, 2.89, 5.48, 17.75, 1.3, , 60.76
 67.77, 3.6, , , 0.4, 8.41, , 63.74
 75.0, 4.0, , 1.5, 5.9, 1.6, , 72.8
 71.08, 0.9, , 0.3, 1.5, 1.2, , 46.68
 67.21, 5.02, , , 7.02, 8.33, , 67.7
 2.0, 0.7, , , , , , 58.8
 72.91, , , , , 22.86, , 60.27
 68.87, , , , , 22.73, , 68.5
 64.87, , , , , 22.6, , 73.21
 60.92, , , , , 22.47, , 76.54
 57.01, , , , , 22.34, , 75.95
 45.55, , , , , 21.97, , 62.43
 85.04, 7.12, , , , , , 77.6
 81.75, 10.53, , , , , , 78.8
 78.54, 13.85, , , , , , 80.1
 75.43, 17.06, , , , , , 81.8
 72.41, 20.19, , , , , , 82.6
 68.02, 24.73, , , , , , 82.8
 66.6, 26.2, , , , , , 82.8
 63.81, 29.09, , , , , , 84.6
 58.45, 34.63, , , , , , 87.3
 76.65, 4.0, , , , , , 82.4
 74.54, 7.78, , , , , , 83.0
 72.54, 11.36, , , , , , 83.8
 70.65, 14.75, , , , , , 84.2
 68.86, 17.97, , , , , , 85.3
 67.15, 21.03, , , , , , 85.2
 65.52, 23.95, , , , , , 85.7
 63.98, 26.72, , , , , , 84.3
 62.86, 28.72, , , , , , 84.5
 62.5, 29.37, , , , , , 84.9
 61.09, 31.9, , , , , , 87.5
 59.75, 34.31, , , , , , 88.8
 57.76, 32.67, , , , , , 85.7
 58.44, 32.51, , , , , , 86.3
 59.78, 32.2, , , , , , 85.8
 62.38, 31.6, , , , , , 88.6
 63.65, 31.3, , , , , , 87.0
 59.89, 24.96, , , , , , 87.6
 70.43, 16.3, , , , , , 84.5
 75.01, 12.73, , , , , , 82.4
 66.29, 24.36, , , , , , 83.0
 58.44, 33.59, , , , , , 86.7
 61.06, 32.96, , , , , , 81.2
 41.54, 46.99, , , , , , 90.5
 76.99, 9.33, , , , , , 81.8
 47.69, 40.46, , , , , , 82.5
 72.08, 9.71, , , , , , 84.2
 66.89, 16.75, , , , , , 86.2
 43.19, , , , , 6.77, , 33.91
 38.04, , , , , 17.88, , 44.96
 35.9, , , , , 22.51, , 51.89
 33.98, , , , , 26.64, , 55.92
 32.26, , , , , 30.35, , 58.66
 30.71, , , , , 33.7, , 60.07
 29.3, , , , , 36.75, , 57.37
 26.84, , , , , 42.07, , 52.4
 25.75, , , , , 44.4, , 49.08
 55.12, , , , , 12.96, , 48.67
 52.83, , , , , 16.56, , 56.09
 50.73, , , , , 19.89, , 58.99
 49.74, , , , , 21.44, , 62.15
 48.79, , , , , 22.95, , 64.55
 46.99, , , , , 25.78, , 65.44
 45.32, , , , , 28.42, , 65.21
 43.77, , , , , 30.88, , 63.84
 10.62, , , , , 83.23, , 60.98
 40.96, , , , , 35.31, , 61.06
 38.49, , , , , 39.21, , 51.8
 60.7, , , , , 15.86, , 60.89
 67.31, , , , , 13.19, , 63.2
 72.03, , , , , 11.29, , 67.68
 , , , , , 1.62, , 19.47
 , , , , , 3.35, , 21.04
 , , , , , 5.34, , 23.04
 , , , , , 7.95, , 25.08
 , , , , , 11.16, , 27.53
 , , , , , 14.33, , 29.7
 , , , , , 16.82, , 30.28
 , , , , , 19.88, , 31.39
 , , , , , 22.9, , 31.8
 , , , , , 23.62, , 31.85
 , , , , , 25.86, , 32.49
 , , , , , 28.55, , 33.81
 , , , , , 31.99, , 37.59
 , , , , , 34.7, , 40.26
 , , , , , 37.59, , 41.91
 , , , , , 40.53, , 41.85
 57.0, 22.0, 7.0, 10.0, , , , 89.18
 48.0, 28.0, 16.0, 8.0, , , , 99.96
 54.0, 34.0, 4.0, 8.0, , , , 88.2
 67.0, 21.0, 4.0, 8.0, , , , 87.22
 55.0, 24.0, 5.0, 16.0, , , , 95.06
 50.0, 21.0, 9.0, 13.0, , , , 91.14
 52.0, 21.0, 8.0, 12.0, , , , 93.1
 50.0, 10.0, 22.0, , 18.0, , , 98.0
 54.0, 8.0, 22.0, , 16.0, , , 98.0
 54.0, 10.0, 20.0, , 12.0, 4.0, , 98.0
 52.0, 10.0, 20.0, , 12.0, 4.0, , 98.0
 54.0, 8.0, 18.0, , 16.0, , , 98.0
 55.0, 8.0, 18.0, , 18.0, , , 98.0
 52.0, 12.0, 18.0, , 18.0, , , 98.0
 58.0, 8.0, 20.0, , 14.0, , , 98.0
 58.0, 8.0, 20.0, , 12.0, 2.0, , 98.0
 54.0, 8.0, 20.0, , 14.0, , , 98.0
 64.0, 4.0, 16.0, , 16.0, , , 98.0
 59.05, 2.86, 17.14, , 19.05, , , 98.0
 60.0, 5.0, 20.0, , 15.0, , , 98.0
 48.0, 14.0, 18.0, , 20.0, , , 98.0
 46.0, 12.0, 20.0, , 20.0, , , 98.0
 45.0, 13.0, 22.0, , 20.0, , , 98.0
 53.5, 10.0, 20.0, , 14.0, , , 98.0
 51.5, 10.0, 20.0, , 16.0, , , 98.0
 51.8, 10.0, 20.0, , 16.0, , , 98.0
 52.95, 9.0, 20.0, , 16.0, , , 98.0
 42.03, 34.07, , , 0.04, , , 12.0
 42.9, 35.0, 0.75, , , , , 11.9
 42.9, 36.5, 1.5, , , , , 12.5
