SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Poisson Ratio
73.14,2.61,1.93,8.69,13.51,0.0,0.0,0.201
71.17,2.57,1.99,10.69,13.5,0.0,0.0,0.213
70.38,2.53,1.93,11.48,13.6,0.0,0.0,0.217
69.21,2.59,1.93,12.49,13.7,0.0,0.0,0.207
68.29,2.52,1.93,13.43,13.7,0.0,0.0,0.213
71.93,2.13,0.67,11.3,13.89,0.0,0.0,0.211
73.34,2.02,3.22,7.72,13.59,0.0,0.0,0.207
74.02,2.01,4.53,5.86,13.5,0.0,0.0,0.199
73.98,2.11,6.08,3.92,13.8,0.0,0.0,0.205
73.91,2.19,7.57,1.94,14.3,0.0,0.0,0.203
60.87,19.82,2.04,0.04,13.19,0.04,0.0,0.213
61.97,18.81,1.72,0.42,13.18,0.01,0.0,0.223
61.59,19.48,1.29,0.03,12.85,0.01,0.0,0.223
61.78,19.53,1.48,0.03,12.8,0.01,0.0,0.221
60.95,19.27,1.85,0.1,12.65,0.95,0.0,0.212
61.41,19.63,1.12,0.05,13.16,0.04,0.0,0.207
60.96,18.36,0.0,3.22,7.1,6.17,0.0,0.2
73.21,1.45,0.08,10.28,14.71,0.009998,0.009998,0.203
67.49,16.57,3.35,1.88,5.02,1.52,0.0,0.214
63.74,16.33,1.11,0.96,13.02,0.4,0.0,0.214
49.58,23.96,3.63,0.0,12.1,6.41,0.0,0.231
37.99,32.23,0.0,0.0,0.0,29.78,0.0,0.236
57.34,19.1,1.06,0.05,17.73,0.25,0.0,0.227
67.79,13.01,2.76,0.04,12.74,0.1,0.0,0.208
67.63,13.22,2.87,0.04,12.61,0.1,0.0,0.203
64.0,14.65,2.68,0.03,13.71,0.21,0.0,0.223
58.75,23.01,1.82,0.0,12.96,0.14,0.0,0.213
64.35,17.58,3.31,9.7,3.48,0.99,0.0,0.228
63.86,17.18,3.29,9.67,3.4,0.97,0.0,0.234
63.19,16.99,3.26,9.51,3.34,0.96,0.0,0.234
63.12,16.64,3.21,9.34,3.28,0.95,0.0,0.231
58.49,22.77,2.51,0.03,12.55,0.28,0.0,0.23
61.38,20.8,1.77,0.03,12.27,0.01,0.0,0.22
60.3,21.0,1.21,0.03,12.47,0.03,0.0,0.21
71.29,13.16,3.96,8.31,1.76,0.83,0.69,0.22
60.5,20.84,1.46,0.03,12.73,0.01,0.0,0.219
58.76,22.19,1.45,0.04,12.69,0.01,0.0,0.209
72.35,1.9,4.01,6.71,15.03,0.0,0.0,0.22
72.0,0.6,4.27,8.73,13.78,0.4,0.2,0.234
53.97,24.44,1.0,5.49,14.74,0.0,0.0,0.229
54.32,24.69,3.14,2.74,14.77,0.0,0.0,0.222
54.54,24.7,3.52,2.04,14.83,0.0,0.0,0.229
54.81,24.69,3.91,1.34,14.88,0.0,0.0,0.226
54.77,24.78,4.49,0.67,14.92,0.0,0.0,0.225
54.41,24.57,3.43,2.01,13.7,1.52,0.0,0.227
54.13,24.48,3.47,2.01,12.9,2.65,0.0,0.227
56.62,23.56,3.35,1.95,14.15,0.0,0.0,0.22
62.22,18.92,2.36,0.04,13.49,0.01,0.0,0.216
60.34,19.67,1.74,0.04,12.28,1.37,0.0,0.212
61.69,18.71,1.7,0.42,12.23,1.35,0.0,0.223
61.53,19.75,1.44,0.04,13.13,0.01,0.0,0.208
62.04,19.06,1.45,0.05,13.22,0.06,0.0,0.209
61.82,19.38,1.46,0.03,12.76,0.01,0.0,0.218
61.53,7.06,4.15,12.0,11.7,0.01,0.34,0.23
66.6,5.03,4.13,9.2,10.1,0.01,0.24,0.22
68.09,3.43,4.44,9.87,11.72,0.01,0.22,0.22
68.72,1.88,4.52,8.52,12.0,0.01,0.21,0.22
58.45,18.45,3.13,0.0,15.78,0.0,0.06,0.204
56.99,20.41,1.84,0.0,15.83,0.0,0.06,0.209
73.18,0.7,4.5,8.91,12.71,0.0,0.0,0.22
48.38,32.04,4.74,0.07,14.41,0.0,0.0,0.225
45.31,35.43,4.63,0.07,14.21,0.0,0.0,0.22
47.18,31.49,0.08,6.82,14.08,0.0,0.0,0.238
44.35,34.81,0.07,6.48,13.95,0.0,0.0,0.221
56.53,24.51,0.01,0.11,13.12,1.41,0.0,0.221
61.89,20.85,1.71,0.03,11.56,0.14,0.0,0.211
67.95,19.76,3.91,0.0,3.0,1.52,0.0,0.22
66.9,19.46,3.85,0.0,3.94,3.0,0.0,0.21
59.94,18.12,5.02,0.0,14.98,1.4,0.0,0.22
59.24,17.47,5.36,0.0,15.91,1.48,0.0,0.2
60.99,16.87,5.27,0.0,15.63,0.89,0.0,0.23
60.82,16.82,5.25,0.0,15.57,1.19,0.0,0.23
66.14,14.0,3.0,0.0,13.4,0.6,0.0,0.19
64.45,16.3,5.1,0.0,13.8,0.15,0.0,0.19
60.78,16.3,3.58,0.52,14.1,3.64,0.0,0.2
64.67,16.5,3.5,0.06,14.9,0.0,0.0,0.2
61.86,19.7,1.5,0.03,13.2,0.01,0.0,0.22
61.57,18.0,3.0,0.08,14.5,2.0,0.0,0.2
62.23,12.99,6.29,0.22,11.29,5.89,0.0,0.2
60.26,19.66,1.42,0.4,12.25,1.38,0.0,0.215
61.36,18.88,1.77,0.05,12.59,1.22,0.0,0.222
61.39,19.68,1.37,0.03,13.36,0.01,0.0,0.206
61.65,19.66,1.46,0.03,13.0,0.01,0.0,0.214
61.4,19.66,1.43,0.03,12.87,0.01,0.0,0.219
58.76,22.19,1.45,0.04,12.69,0.01,0.0,0.206
69.76,10.92,1.59,0.0,9.76,4.0,0.0,0.195
68.67,11.02,1.33,0.0,10.88,4.14,0.0,0.204
66.69,11.81,1.52,0.0,12.33,3.69,0.0,0.205
68.76,10.99,1.92,0.44,15.23,1.94,0.0,0.207
70.36,9.82,3.24,0.0,12.65,2.73,0.0,0.205
74.36,0.86,4.23,6.26,13.93,0.32,0.0,0.233
74.22,0.86,4.22,6.25,13.9,0.32,0.0,0.222
73.67,0.85,4.19,6.2,13.8,0.32,0.0,0.221
73.02,0.84,4.15,6.14,13.68,0.32,0.0,0.233
71.6,0.82,4.07,6.02,13.41,0.31,0.0,0.242
59.39,16.79,5.31,7.39,4.08,3.1,0.0,0.23
56.99,22.81,1.19,0.0,12.76,4.19,0.0,0.178
56.71,22.7,1.19,0.0,11.79,5.56,0.0,0.178
56.89,22.78,1.79,0.0,10.91,5.57,0.0,0.177
57.08,22.75,1.2,1.0,11.98,3.92,0.0,0.178
56.01,22.79,0.0,0.99,12.03,3.88,0.0,0.176
55.96,22.77,0.3,0.99,11.11,4.57,0.0,0.179
56.93,21.21,1.01,0.0,10.52,6.12,0.0,0.183
57.5,21.66,1.01,0.0,9.51,6.11,0.0,0.181
56.21,21.31,1.49,0.17,12.31,6.14,0.0,0.178
56.66,21.33,0.24,0.0,13.52,5.69,0.0,0.18
56.23,21.41,1.19,0.0,12.74,6.27,0.0,0.181
56.17,21.8,0.77,0.0,12.89,5.7,0.0,0.179
58.46,21.03,4.93,0.07,15.16,0.0,0.0,0.22
57.19,20.61,0.07,6.87,14.89,0.0,0.0,0.23
62.05,20.2,1.69,0.03,12.03,0.14,0.0,0.208
61.85,20.52,1.76,0.03,11.89,0.14,0.0,0.203
72.73,0.85,2.83,8.26,13.9,0.63,0.0,0.234
74.43,1.71,2.02,9.39,12.45,0.0,0.0,0.226
72.87,1.67,1.98,9.19,8.12,6.17,0.0,0.227
69.8,1.62,2.57,8.03,0.0,17.98,0.0,0.232
64.02,17.31,1.87,0.0,12.44,4.36,0.0,0.212
64.7,13.91,2.44,0.0,7.52,11.43,0.0,0.216
59.37,17.77,2.34,0.0,0.0,20.52,0.0,0.222
53.75,24.28,3.96,0.0,11.71,6.3,0.0,0.221
51.62,24.21,3.95,0.0,11.77,6.28,0.0,0.224
70.68,1.1,4.0,9.81,13.81,0.5,0.0,0.23
73.0,1.0,4.0,8.0,14.0,0.0,0.0,0.23
