Search Condition
State,Not Specified
Composition
,Component Unit,mass%
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,*,AND,Na2O,,,,,,
,*,AND,MgO,,,,,,
,*,AND,Al2O3,,,,,,
,*,AND,SiO2,,,,,,
,,OR,SO2,SO3,,,,,
,,OR,K2O,,,,,,
,*,AND,CaO,,,,,,
,Total of Main Components >=,96,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Poisson Ratio,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,10000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, Na2O, K2O, SO3, SO2, Poisson Ratio
1188, GJ09-260299, Glass Physics & Chemistry, 2004, v. 030  p. 0420, 7.36, , 14.42, , , , 7.67, , , 0.24
1189, GJ09-260300, Glass Physics & Chemistry, 2004, v. 030  p. 0420, 11.26, , 13.92, , , , 7.07, , , 0.23
1190, GJ09-260301, Glass Physics & Chemistry, 2004, v. 030  p. 0420, 13.64, , 13.33, , , , 6.56, , , 0.23
1191, GJ09-260302, Glass Physics & Chemistry, 2004, v. 030  p. 0420, 18.61, , 14.32, , , , 5.93, , , 0.23
1192, GJ09-260303, Glass Physics & Chemistry, 2004, v. 030  p. 0420, 20.82, , 13.12, , , , 5.75, , , 0.23
1193, XP03-260868, Japanese Patent    Hoya Corp. (J), 2004, A220719, 44.09, , 17.08, 19.61, , , 0.75, , , 0.23
1194, XP03-260872, Japanese Patent    Hoya Corp. (J), 2004, A220719, 43.87, , 16.99, 19.19, , , 0.75, , , 0.23
1195, XP03-260873, Japanese Patent    Hoya Corp. (J), 2004, A220719, 44.24, , 17.13, 19.99, , , 0.75, , , 0.23
1196, GP02-262120, US Patent    Saint-Gobain (FR), 2004, A0162213, 71.66, , 0.6, 4.12, 9.65, 13.67, 0.3, , , 0.22
1197, GP02-262121, US Patent    Saint-Gobain (FR), 2004, A0162213, 67.78, , 2.12, 0.1, 8.59, 16.16, 5.15, , , 0.22
1198, GP02-262122, US Patent    Saint-Gobain (FR), 2004, A0162213, 64.19, , 0.45, 0.07, 13.32, 21.96, 0.01, , , 0.23
1199, GP02-262123, US Patent    Saint-Gobain (FR), 2004, A0162213, 63.65, , 2.47, 0.1, 13.49, 17.62, 2.67, , , 0.23
1200, GP02-262124, US Patent    Saint-Gobain (FR), 2004, A0162213, 64.8, , 2.0, 0.5, 10.4, 17.4, 4.9, , , 0.23
1201, GP02-262125, US Patent    Saint-Gobain (FR), 2004, A0162213, 64.0, , 2.0, 0.5, 10.4, 16.3, 4.8, , , 0.23
1202, GP02-262126, US Patent    Saint-Gobain (FR), 2004, A0162213, 65.0, , 1.0, , 14.1, 18.9, 1.0, , , 0.23
1203, GP05-265593, US Patent    Schott AG (DE), 2005, A6864197, 45.91, 19.96, 2.0, , 1.0, 7.98, 3.99, , , 0.238
1204, GP05-265594, US Patent    Schott AG (DE), 2005, A6864197, 45.61, 20.46, 2.0, , 1.0, 7.78, 3.99, , , 0.235
1205, GP04-265720, US Patent    Schott Corp. (US), 2005, A6903038, 24.5, , , , , 0.4, 0.6, , , 0.25
1206, GP04-265721, US Patent    Schott Corp. (US), 2005, A6903038, 25.27, , , , , 0.41, 0.6, , , 0.249
1207, GP04-265722, US Patent    Schott Corp. (US), 2005, A6903038, 25.65, , , , , 0.41, 0.61, , , 0.248
1208, GP04-265723, US Patent    Schott Corp. (US), 2005, A6903038, 26.06, , , , , 0.41, 0.61, , , 0.24
1209, GP04-265724, US Patent    Schott Corp. (US), 2005, A6903038, 26.45, , , , , 0.41, 0.62, , , 0.247
1210, GP09-265827, US Patent, 2005, A0026768, 27.5, , , , , 9.0, 2.0, , , 0.265
1211, GP09-265828, US Patent, 2005, A0026768, 24.0, , , , , 2.0, 11.0, , , 0.27
1212, GP09-265829, US Patent, 2005, A0026768, 29.0, , , , , , 6.0, , , 0.232
1213, GP09-265830, US Patent, 2005, A0026768, 26.0, , , , , 5.0, 9.0, , , 0.267
1214, GP09-265831, US Patent, 2005, A0026768, 30.0, , , , , , 6.0, , , 0.249
1215, GP09-265832, US Patent, 2005, A0026768, 34.0, , , , , 1.0, 3.0, , , 0.263
1216, GP09-265833, US Patent, 2005, A0026768, 24.0, , , , , 1.0, 10.5, , , 0.231
1217, GP09-265834, US Patent, 2005, A0026768, 27.0, , , , , 2.5, 7.5, , , 0.259
1218, GP09-265835, US Patent, 2005, A0026768, 28.5, , , , , 1.2, 7.0, , , 0.25
1219, GP09-265836, US Patent, 2005, A0026768, 26.0, , , , , , 10.0, , , 0.25
1220, GP05-266294, US Patent, 2005, A0130826, 45.91, 19.96, 2.0, , 1.0, 7.98, 3.99, , , 0.238
1221, GP05-266295, US Patent, 2005, A0130826, 45.61, 20.46, 2.0, , 1.0, 7.78, 3.99, , , 0.235
1222, GJ03-268189, J. Materials Research, 2005, v. 020  p. 3404, 72.26, , 0.52, 4.04, 9.71, 13.47, , , , 0.21
1223, GP03-268790, Japanese Patent    Hoya Corp. (J), 2005, A314159, 57.58, , 6.11, , 13.44, 6.03, 2.12, , , 0.239
1224, GP03-268791, Japanese Patent    Hoya Corp. (J), 2005, A314159, 57.86, , 6.14, , 13.5, 5.13, 2.13, , , 0.239
1225, GP03-268792, Japanese Patent    Hoya Corp. (J), 2005, A314159, 57.31, , 6.08, , 13.37, 3.23, 4.91, , , 0.239
1226, GP03-268793, Japanese Patent    Hoya Corp. (J), 2005, A314159, 57.48, , 7.62, , 12.57, 5.09, 2.11, , , 0.238
1227, GP03-268794, Japanese Patent    Hoya Corp. (J), 2005, A314159, 57.42, , 7.61, , 11.72, 6.02, 2.11, , , 0.237
1228, GP03-268795, Japanese Patent    Hoya Corp. (J), 2005, A314159, 57.37, , 7.61, , 10.88, 6.93, 2.11, , , 0.237
1229, GP03-268796, Japanese Patent    Hoya Corp. (J), 2005, A314159, 58.04, , 7.7, , 8.47, 7.02, 2.13, , , 0.235
1230, GP03-268797, Japanese Patent    Hoya Corp. (J), 2005, A314159, 58.17, , 7.71, , 10.61, 4.69, 2.14, , , 0.237
1231, GP03-269773, US Patent    Hoya Corp. (J), 2005, A0244656, 57.58, , 6.11, , 13.44, 6.03, 2.12, , , 0.239
1232, GP03-269774, US Patent    Hoya Corp. (J), 2005, A0244656, 57.86, , 6.14, , 13.5, 5.13, 2.13, , , 0.239
1233, GP03-269775, US Patent    Hoya Corp. (J), 2005, A0244656, 57.31, , 6.08, , 13.37, 3.23, 4.91, , , 0.239
1234, GP03-269776, US Patent    Hoya Corp. (J), 2005, A0244656, 57.48, , 7.62, , 12.57, 5.09, 2.11, , , 0.238
1235, GP03-269777, US Patent    Hoya Corp. (J), 2005, A0244656, 57.42, , 7.61, , 11.72, 6.02, 2.11, , , 0.237
1236, GP03-269778, US Patent    Hoya Corp. (J), 2005, A0244656, 57.37, , 7.61, , 10.88, 6.93, 2.11, , , 0.237
1237, GP03-269779, US Patent    Hoya Corp. (J), 2005, A0244656, 58.04, , 7.7, , 8.47, 7.02, 2.13, , , 0.235
1238, GP03-269780, US Patent    Hoya Corp. (J), 2005, A0244656, 58.17, , 7.71, , 10.61, 4.69, 2.14, , , 0.237
1239, GP09-273065, European Patent    Ohara Inc. (J), 2006, A1640346, 27.5, , , , , 9.0, 2.0, , , 0.265
1240, GP09-273066, European Patent    Ohara Inc. (J), 2006, A1640346, 24.0, , , , , 2.0, 11.0, , , 0.27
1241, GP09-273067, European Patent    Ohara Inc. (J), 2006, A1640346, 29.0, , , , , , 6.0, , , 0.232
1242, GP09-273068, European Patent    Ohara Inc. (J), 2006, A1640346, 26.0, , , , , 5.0, 9.0, , , 0.267
1243, GP09-273069, European Patent    Ohara Inc. (J), 2006, A1640346, 30.0, , , , , , 6.0, , , 0.249
1244, GP09-273070, European Patent    Ohara Inc. (J), 2006, A1640346, 34.0, , , , , 1.0, 3.0, , , 0.263
1245, GP09-273071, European Patent    Ohara Inc. (J), 2006, A1640346, 24.0, , , , , 1.0, 10.5, , , 0.231
1246, GP09-273072, European Patent    Ohara Inc. (J), 2006, A1640346, 27.0, , , , , 2.5, 7.5, , , 0.259
1247, GP09-273073, European Patent    Ohara Inc. (J), 2006, A1640346, 28.5, , , , , 1.2, 7.0, , , 0.25
1248, GP09-273074, European Patent    Ohara Inc. (J), 2006, A1640346, 26.0, , , , , , 10.0, , , 0.25
1249, GP05-275389, US Patent    Schott AG (DE), 2006, A7102242, 45.91, 19.96, 2.0, , 1.0, 7.98, 3.99, , , 0.238
1250, GP05-275390, US Patent    Schott AG (DE), 2006, A7102242, 45.61, 20.46, 2.0, , 1.0, 7.78, 3.99, , , 0.235
1251, GP02-275547, US Patent    Saint-Gobain (FR), 2006, A7153798, 67.78, , 2.12, 0.1, 8.59, 16.16, 5.15, , , 0.22
1252, GP02-275548, US Patent    Saint-Gobain (FR), 2006, A7153798, 64.19, , 0.45, 0.07, 13.32, 21.96, 0.01, , , 0.23
1253, GP02-275549, US Patent    Saint-Gobain (FR), 2006, A7153798, 63.65, , 2.47, 0.1, 13.49, 17.62, 2.67, , , 0.23
1254, GP02-275550, US Patent    Saint-Gobain (FR), 2006, A7153798, 64.8, , 2.0, 0.5, 10.4, 17.4, 4.9, , , 0.23
1255, GP02-275551, US Patent    Saint-Gobain (FR), 2006, A7153798, 64.0, , 2.0, 0.5, 10.4, 16.3, 4.8, , , 0.23
1256, GP02-275552, US Patent    Saint-Gobain (FR), 2006, A7153798, 65.0, , 1.0, , 14.1, 18.9, 1.0, , , 0.23
1257, GP03-275778, US Patent, 2006, A0216552, 54.76, , 5.9, , 10.54, 3.59, 6.81, , , 0.24
1258, GP03-275779, US Patent, 2006, A0216552, 54.9, , 5.91, , 10.57, 4.49, 6.83, , , 0.238
1259, GP03-275780, US Patent, 2006, A0216552, 54.54, , 7.34, , 9.7, 4.46, 6.78, , , 0.237
1260, GP03-275781, US Patent, 2006, A0216552, 56.51, , 7.38, , 10.55, 3.59, 8.18, , , 0.24
1261, GP03-275782, US Patent, 2006, A0216552, 55.74, , 7.27, , 9.6, 3.54, 8.07, , , 0.24
1262, XP03-278381, Japanese Patent    Hoya Corp. (J), 2007, A091500, 44.09, , 17.08, 19.61, , , 0.75, , , 0.23
1263, XP03-278385, Japanese Patent    Hoya Corp. (J), 2007, A091500, 43.87, , 16.99, 19.19, , , 0.75, , , 0.23
1264, XP03-278386, Japanese Patent    Hoya Corp. (J), 2007, A091500, 44.24, , 17.13, 19.99, , , 0.75, , , 0.23
1265, XP03-278398, Japanese Patent    Hoya Corp. (J), 2007, A091527, 44.09, , 17.08, 19.61, , , 0.75, , , 0.23
1266, XP03-278402, Japanese Patent    Hoya Corp. (J), 2007, A091527, 43.87, , 16.99, 19.19, , , 0.75, , , 0.23
1267, XP03-278403, Japanese Patent    Hoya Corp. (J), 2007, A091527, 44.24, , 17.13, 19.99, , , 0.75, , , 0.23
1268, GJ05-280065, J. American Ceramic Soc., 2007, v. 090  p. 2540, 80.63, 12.72, 2.5, , , 3.51, 0.64, , , 0.18
1269, GJ02-283879, J. Materials Science, 2008, v. 043  p. 0281, 71.71, , 0.69, 4.18, 8.85, 14.41, 0.16, , , 0.22
1270, GJ02-283881, J. Materials Science, 2008, v. 043  p. 0281, 78.65, , 4.85, , , 5.83, 4.85, , , 0.16
1271, GJ20-283883, J. Materials Science, 2008, v. 043  p. 0281, , , 5.13, , , , 15.57, , , 0.25
1272, GP09-290110, US Patent    Ohara Inc. (J), 2009, A7528083, 27.5, , , , , 9.0, 2.0, , , 0.265
1273, GP09-290111, US Patent    Ohara Inc. (J), 2009, A7528083, 24.0, , , , , 2.0, 11.0, , , 0.27
1274, GP09-290112, US Patent    Ohara Inc. (J), 2009, A7528083, 29.0, , , , , , 6.0, , , 0.232
1275, GP09-290113, US Patent    Ohara Inc. (J), 2009, A7528083, 26.0, , , , , 5.0, 9.0, , , 0.267
1276, GP09-290114, US Patent    Ohara Inc. (J), 2009, A7528083, 30.0, , , , , , 6.0, , , 0.249
1277, GP09-290115, US Patent    Ohara Inc. (J), 2009, A7528083, 34.0, , , , , 1.0, 3.0, , , 0.263
1278, GP09-290116, US Patent    Ohara Inc. (J), 2009, A7528083, 24.0, , , , , 1.0, 10.5, , , 0.231
1279, GP09-290117, US Patent    Ohara Inc. (J), 2009, A7528083, 27.0, , , , , 2.5, 7.5, , , 0.259
1280, GP09-290118, US Patent    Ohara Inc. (J), 2009, A7528083, 28.5, , , , , 1.2, 7.0, , , 0.25
1281, GP09-290119, US Patent    Ohara Inc. (J), 2009, A7528083, 26.0, , , , , , 10.0, , , 0.25
1282, GP09-290517, US Patent    Ohara Inc. (J), 2009, A0082189, 27.5, , , , , 9.0, 2.0, , , 0.265
1283, GP09-290518, US Patent    Ohara Inc. (J), 2009, A0082189, 24.0, , , , , 2.0, 11.0, , , 0.27
1284, GP09-290519, US Patent    Ohara Inc. (J), 2009, A0082189, 29.0, , , , , , 6.0, , , 0.232
1285, GP09-290520, US Patent    Ohara Inc. (J), 2009, A0082189, 26.0, , , , , 5.0, 9.0, , , 0.267
1286, GP09-290521, US Patent    Ohara Inc. (J), 2009, A0082189, 30.0, , , , , , 6.0, , , 0.249
1287, GP09-290522, US Patent    Ohara Inc. (J), 2009, A0082189, 34.0, , , , , 1.0, 3.0, , , 0.263
1288, GP09-290523, US Patent    Ohara Inc. (J), 2009, A0082189, 24.0, , , , , 1.0, 10.5, , , 0.231
1289, GP09-290524, US Patent    Ohara Inc. (J), 2009, A0082189, 27.0, , , , , 2.5, 7.5, , , 0.259
1290, GP09-290525, US Patent    Ohara Inc. (J), 2009, A0082189, 28.36, , , , , 1.19, 6.97, , , 0.25
1291, GP09-290526, US Patent    Ohara Inc. (J), 2009, A0082189, 26.0, , , , , , 10.0, , , 0.25
1292, GP03-293588, US Patent    Hoya Corp. (J), 2009, A7595273, 57.58, , 6.11, , 13.44, 6.03, 2.12, , , 0.239
1293, GP03-293589, US Patent    Hoya Corp. (J), 2009, A7595273, 57.86, , 6.14, , 13.5, 5.13, 2.13, , , 0.239
1294, GP03-293590, US Patent    Hoya Corp. (J), 2009, A7595273, 57.31, , 6.08, , 13.37, 3.23, 4.91, , , 0.239
1295, GP03-293591, US Patent    Hoya Corp. (J), 2009, A7595273, 57.48, , 7.62, , 12.57, 5.09, 2.11, , , 0.238
1296, GP03-293592, US Patent    Hoya Corp. (J), 2009, A7595273, 57.42, , 7.61, , 11.72, 6.02, 2.11, , , 0.237
1297, GP03-293593, US Patent    Hoya Corp. (J), 2009, A7595273, 57.37, , 7.61, , 10.88, 6.93, 2.11, , , 0.237
1298, GP03-293594, US Patent    Hoya Corp. (J), 2009, A7595273, 58.04, , 7.7, , 8.47, 7.02, 2.13, , , 0.235
1299, GP03-293595, US Patent    Hoya Corp. (J), 2009, A7595273, 58.17, , 7.71, , 10.61, 4.69, 2.14, , , 0.237
1300, GP02-293643, US Patent    Hoya Corp. (J), 2009, A7601446, 65.0, , 5.0, , 13.0, 4.0, 6.0, , , 0.24
1301, GP02-293644, US Patent    Hoya Corp. (J), 2009, A7601446, 65.0, , 5.0, , 13.0, 5.0, 5.0, , , 0.24
1302, GP02-293645, US Patent    Hoya Corp. (J), 2009, A7601446, 63.0, , 4.0, , 13.0, 5.0, 4.0, , , 0.24
1303, GP02-293646, US Patent    Hoya Corp. (J), 2009, A7601446, 63.0, , 3.0, , 14.0, , 9.0, , , 0.24
1304, GJ28-294799, Physics and Chemistry of  Glasses, 2009, v. 050  p. 0417, , , , , , , 2.82, , , 0.2539
1305, GJ28-294800, Physics and Chemistry of  Glasses, 2009, v. 050  p. 0417, , , , , , , 5.88, , , 0.2646
1306, GJ28-294801, Physics and Chemistry of  Glasses, 2009, v. 050  p. 0417, , , , , , , 9.21, , , 0.2785
1307, GJ28-294802, Physics and Chemistry of  Glasses, 2009, v. 050  p. 0417, , , , , , , 12.86, , , 0.2836
1308, GP09-298339, Japanese Patent    Ohara Inc. (J), 2010, A150137, 27.5, , , , , 9.0, 2.0, , , 0.265
1309, GP09-298340, Japanese Patent    Ohara Inc. (J), 2010, A150137, 24.0, , , , , 2.0, 11.0, , , 0.27
1310, GP09-298341, Japanese Patent    Ohara Inc. (J), 2010, A150137, 29.0, , , , , , 6.0, , , 0.232
1311, GP09-298342, Japanese Patent    Ohara Inc. (J), 2010, A150137, 26.0, , , , , 5.0, 9.0, , , 0.267
1312, GP09-298343, Japanese Patent    Ohara Inc. (J), 2010, A150137, 30.0, , , , , , 6.0, , , 0.249
1313, GP09-298344, Japanese Patent    Ohara Inc. (J), 2010, A150137, 34.0, , , , , 1.0, 3.0, , , 0.263
1314, GP09-298345, Japanese Patent    Ohara Inc. (J), 2010, A150137, 24.0, , , , , 1.0, 10.5, , , 0.231
1315, GP09-298346, Japanese Patent    Ohara Inc. (J), 2010, A150137, 27.0, , , , , 2.5, 7.5, , , 0.259
1316, GP09-298347, Japanese Patent    Ohara Inc. (J), 2010, A150137, 28.5, , , , , 1.2, 7.0, , , 0.25
1317, GP09-298348, Japanese Patent    Ohara Inc. (J), 2010, A150137, 26.0, , , , , , 10.0, , , 0.25
1318, GP03-302328, US Patent    Hoya Corp. (J), 2011, A7964298, 63.0, , 4.0, , 13.0, 4.0, 5.0, , , 0.24
1319, GP03-302329, US Patent    Hoya Corp. (J), 2011, A7964298, 63.0, , 4.0, , 13.0, 5.0, 5.0, , , 0.238
1320, GP03-302330, US Patent    Hoya Corp. (J), 2011, A7964298, 63.0, , 5.0, , 12.0, 5.0, 5.0, , , 0.237
1321, GP03-302331, US Patent    Hoya Corp. (J), 2011, A7964298, 65.0, , 5.0, , 13.0, 4.0, 6.0, , , 0.24
1322, GP03-302332, US Patent    Hoya Corp. (J), 2011, A7964298, 65.0, , 5.0, , 12.0, 4.0, 6.0, , , 0.24
1323, XP02-302658, US Patent    Corning Inc. (US), 2011, A0092353, 74.32, , 3.6, , , , 3.3, , , 0.205
1324, XP02-302659, US Patent    Corning Inc. (US), 2011, A0092353, 75.08, , , 0.7, , , 2.2, , , 0.22
1325, XP03-302661, US Patent    Corning Inc. (US), 2011, A0092353, 67.0, , , 14.0, , , 10.0, , , 0.268
1326, GP03-302876, US Patent    Hoya Corp. (J), 2011, A0159322, 54.76, , 5.9, , 10.54, 3.59, 6.81, , , 0.24
1327, GP03-302877, US Patent    Hoya Corp. (J), 2011, A0159322, 54.9, , 5.91, , 10.57, 4.49, 6.83, , , 0.238
1328, GP03-302878, US Patent    Hoya Corp. (J), 2011, A0159322, 54.54, , 7.34, , 9.7, 4.46, 6.78, , , 0.237
1329, GP03-302879, US Patent    Hoya Corp. (J), 2011, A0159322, 56.51, , 7.38, , 10.55, 3.59, 8.18, , , 0.24
1330, GP03-302880, US Patent    Hoya Corp. (J), 2011, A0159322, 55.74, , 7.27, , 9.6, 3.54, 8.07, , , 0.24
1331, XP02-303220, European Patent    Corning Inc. (US), 2011, A2323955, 74.32, , 3.6, , , , 3.3, , , 0.205
1332, XP02-303221, European Patent    Corning Inc. (US), 2011, A2323955, 75.08, , , 0.7, , , 2.2, , , 0.22
1333, XP03-303223, European Patent    Corning Inc. (US), 2011, A2323955, 45.0, , 12.0, 11.0, , , 2.5, , , 0.297
1334, GJ20-306828, J. Non-Crystalline Solids, 2012, v. 358  p. 001032, , , , , , 11.74, , 2.06, , 0.3
1335, GJ20-306829, J. Non-Crystalline Solids, 2012, v. 358  p. 001032, , , , , , 11.22, , 4.17, , 0.3
1336, GJ20-306830, J. Non-Crystalline Solids, 2012, v. 358  p. 001032, , , , , , 10.69, , 6.3, , 0.31
1337, GJ20-306831, J. Non-Crystalline Solids, 2012, v. 358  p. 001032, , , , , , 10.16, , 8.48, , 0.31
1338, GJ20-306832, J. Non-Crystalline Solids, 2012, v. 358  p. 001032, , , , , , 9.05, , 12.96, , 0.3
1339, GJ20-306833, J. Non-Crystalline Solids, 2012, v. 358  p. 001032, , , , , , 7.9, , 17.6, , 0.31
1340, GJ20-306834, J. Non-Crystalline Solids, 2012, v. 358  p. 001032, , , , , , 6.71, , 22.42, , 0.31
1341, GJ20-306835, J. Non-Crystalline Solids, 2012, v. 358  p. 001032, , , , , , 5.47, , 27.43, , 0.32
1342, GJ20-306836, J. Non-Crystalline Solids, 2012, v. 358  p. 001032, , , , , , 4.19, , 32.64, , 0.32
1343, GJ05-307013, J. American Ceramic Soc., 2012, v. 095  p. 000721, 80.54, 12.7, 2.54, 0.01, 0.02, 3.54, 0.64, , , 0.195
1344, GJ02-307014, J. American Ceramic Soc., 2012, v. 095  p. 000721, 73.41, , 1.45, 0.08, 10.3, 14.74, 0.01, , , 0.222
1345, GP20-307583, Japanese Patent    Schott Corp. (US), 2012, A066996, , , 3.9, 2.03, 0.86, 4.28, 9.15, , , 0.26
1346, GP20-307584, Japanese Patent    Schott Corp. (US), 2012, A066996, , , 3.36, 3.43, 0.74, 3.69, 7.91, , , 0.26
1347, GP20-307585, Japanese Patent    Schott Corp. (US), 2012, A066996, 1.29, 1.49, 3.56, 2.49, 0.79, 3.92, 8.37, , , 0.26
1348, GP20-307586, Japanese Patent    Schott Corp. (US), 2012, A066996, , , 3.39, 3.46, 0.75, 3.72, 7.96, , , 0.26
1349, GP20-307587, Japanese Patent    Schott Corp. (US), 2012, A066996, 0.63, 0.73, 3.48, 2.99, 0.77, 3.82, 8.17, , , 0.26
1350, GP20-307588, Japanese Patent    Schott Corp. (US), 2012, A066996, , 1.42, 3.39, 2.37, 0.75, 3.72, 7.96, , , 0.26
1351, GP20-307589, Japanese Patent    Schott Corp. (US), 2012, A066996, 1.25, 1.44, 3.45, 3.53, 0.77, 3.79, 8.11, , , 0.26
1352, GP20-307590, Japanese Patent    Schott Corp. (US), 2012, A066996, , , 3.89, 2.71, 0.86, 4.27, 9.14, , , 0.26
1353, GP20-307591, Japanese Patent    Schott Corp. (US), 2012, A066996, 1.17, , 3.25, 2.27, 0.72, 3.57, 7.63, , , 0.26
1354, GP20-307592, Japanese Patent    Schott Corp. (US), 2012, A066996, , 1.4, 3.34, 2.33, 0.74, 3.67, 7.85, , , 0.26
1355, GP20-307638, US Patent    Schott AG (DE), 2012, A0033694, , , 3.9, 2.03, 0.86, 4.28, 9.15, , , 0.26
1356, GP20-307639, US Patent    Schott AG (DE), 2012, A0033694, , , 3.36, 3.43, 0.74, 3.69, 7.91, , , 0.26
1357, GP20-307640, US Patent    Schott AG (DE), 2012, A0033694, 1.29, 1.49, 3.56, 2.49, 0.79, 3.92, 8.37, , , 0.26
1358, GP20-307641, US Patent    Schott AG (DE), 2012, A0033694, , , 3.39, 3.46, 0.75, 3.72, 7.96, , , 0.26
1359, GP20-307642, US Patent    Schott AG (DE), 2012, A0033694, 0.63, 0.73, 3.48, 2.99, 0.77, 3.82, 8.17, , , 0.26
1360, GP20-307643, US Patent    Schott AG (DE), 2012, A0033694, , 1.42, 3.39, 2.37, 0.75, 3.72, 7.96, , , 0.26
1361, GP20-307644, US Patent    Schott AG (DE), 2012, A0033694, 1.25, 1.44, 3.45, 3.53, 0.77, 3.79, 8.11, , , 0.26
1362, GP20-307645, US Patent    Schott AG (DE), 2012, A0033694, , , 3.89, 2.71, 0.86, 4.27, 9.14, , , 0.26
1363, GP20-307646, US Patent    Schott AG (DE), 2012, A0033694, 1.18, , 3.28, 2.29, 0.72, 3.6, 7.7, , , 0.26
1364, GP20-307647, US Patent    Schott AG (DE), 2012, A0033694, , 1.41, 3.37, 2.35, 0.74, 3.7, 7.92, , , 0.26
1365, GP20-308135, European Patent    Schott Corp. (US), 2012, A2415722, , , 3.9, 2.03, 0.86, 4.28, 9.15, , , 0.26
1366, GP20-308136, European Patent    Schott Corp. (US), 2012, A2415722, , , 3.36, 3.43, 0.74, 3.69, 7.91, , , 0.26
1367, GP20-308137, European Patent    Schott Corp. (US), 2012, A2415722, 1.29, 1.49, 3.56, 2.49, 0.79, 3.92, 8.37, , , 0.26
1368, GP20-308138, European Patent    Schott Corp. (US), 2012, A2415722, , , 3.39, 3.46, 0.75, 3.72, 7.96, , , 0.26
1369, GP20-308139, European Patent    Schott Corp. (US), 2012, A2415722, 0.63, 0.73, 3.48, 2.99, 0.77, 3.82, 8.17, , , 0.26
1370, GP20-308140, European Patent    Schott Corp. (US), 2012, A2415722, , 1.42, 3.39, 2.37, 0.75, 3.72, 7.96, , , 0.26
1371, GP20-308141, European Patent    Schott Corp. (US), 2012, A2415722, 1.25, 1.44, 3.45, 3.53, 0.77, 3.79, 8.11, , , 0.26
1372, GP20-308142, European Patent    Schott Corp. (US), 2012, A2415722, , , 3.89, 2.71, 0.86, 4.27, 9.14, , , 0.26
1373, GP20-308143, European Patent    Schott Corp. (US), 2012, A2415722, 1.17, , 3.25, 2.27, 0.72, 3.57, 7.63, , , 0.26
1374, GP20-308144, European Patent    Schott Corp. (US), 2012, A2415722, , 1.4, 3.34, 2.33, 0.74, 3.67, 7.85, , , 0.26
1375, GJ02-310490, J. Non-Crystalline Solids, 2013, v. 364  p. 000040, 60.47, , , , , , 18.96, , , 0.25
1376, GJ02-310492, J. Non-Crystalline Solids, 2013, v. 364  p. 000040, 69.55, , , , 8.65, , 21.8, , , 0.23
1377, GP20-313044, US Patent    Schott Corp. (US), 2013, A8526475, , , 3.9, 2.03, 0.86, 4.28, 9.15, , , 0.26
1378, GP20-313045, US Patent    Schott Corp. (US), 2013, A8526475, , , 3.36, 3.43, 0.74, 3.69, 7.91, , , 0.26
1379, GP20-313046, US Patent    Schott Corp. (US), 2013, A8526475, 1.29, 1.49, 3.56, 2.49, 0.79, 3.92, 8.37, , , 0.26
1380, GP20-313047, US Patent    Schott Corp. (US), 2013, A8526475, , , 3.39, 3.46, 0.75, 3.72, 7.96, , , 0.26
1381, GP20-313048, US Patent    Schott Corp. (US), 2013, A8526475, 0.63, 0.73, 3.48, 2.99, 0.77, 3.82, 8.17, , , 0.26
1382, GP20-313049, US Patent    Schott Corp. (US), 2013, A8526475, , , 3.93, 2.04, 0.87, 4.32, 9.24, , , 0.26
1383, GP20-313050, US Patent    Schott Corp. (US), 2013, A8526475, , , 3.39, 3.46, 0.75, 3.72, 7.96, , , 0.26
1384, GP20-313051, US Patent    Schott Corp. (US), 2013, A8526475, 1.3, 1.5, 3.59, 2.51, 0.79, 3.95, 8.45, , , 0.26
1385, GP20-313052, US Patent    Schott Corp. (US), 2013, A8526475, , , 3.42, 3.49, 0.75, 3.75, 8.02, , , 0.26
1386, GP20-313053, US Patent    Schott Corp. (US), 2013, A8526475, 0.63, 0.73, 3.5, 3.01, 0.78, 3.85, 8.23, , , 0.26
1387, GP03-316567, US Patent    Hoya Corp. (J), 2014, A8883330, 54.76, , 5.9, , 10.54, 3.59, 6.81, , , 0.24
1388, GP03-316568, US Patent    Hoya Corp. (J), 2014, A8883330, 54.9, , 5.91, , 10.57, 4.49, 6.83, , , 0.238
1389, GP03-316569, US Patent    Hoya Corp. (J), 2014, A8883330, 54.54, , 7.34, , 9.7, 4.46, 6.78, , , 0.237
1390, GP03-316570, US Patent    Hoya Corp. (J), 2014, A8883330, 56.51, , 7.38, , 10.55, 3.59, 8.18, , , 0.24
1391, GP03-316571, US Patent    Hoya Corp. (J), 2014, A8883330, 55.74, , 7.27, , 9.6, 3.54, 8.07, , , 0.24
1392, GP02-316707, US Patent    Corning Inc. (US), 2014, A0186632, 62.19, 2.76, 18.91, 2.36, 0.04, 13.48, 0.01, , , 0.216
1393, GP02-316708, US Patent    Corning Inc. (US), 2014, A0186632, 62.07, 2.73, 18.85, 2.28, 0.03, 12.41, 1.38, , , 0.202
