,SiO2,MgO,Na2O,Al2O3,CaO,Density
490,71.01,0.0,25.48,3.51,0.0,2453.0
491,70.18,0.0,26.95,2.86,0.0,2445.0
492,78.52,0.0,20.93,0.55,0.0,2401.0
493,72.64,0.0,24.38,2.98,0.0,2443.0
494,73.34,0.0,22.7,3.96,0.0,2434.0
495,75.76,0.0,21.4,2.84,0.0,2418.0
496,75.84,0.0,23.52,0.64,0.0,2424.0
497,75.9,0.0,22.46,1.64,0.0,2429.0
498,75.32,0.0,22.11,2.57,0.0,2425.0
499,74.99,0.0,20.81,4.2,0.0,2418.0
500,75.0,0.0,25.0,0.0,0.0,2443.0
501,75.0,0.0,21.88,3.12,0.0,2431.0
502,75.0,0.0,25.0,0.0,0.0,2290.0
503,74.0,0.0,26.0,0.0,0.0,2439.0
504,74.0,0.0,22.0,0.0,4.0,2466.0
505,75.8,0.0,24.2,0.0,0.0,2430.0
506,73.4,0.0,22.3,4.3,0.0,2440.0
507,72.0,0.0,28.0,0.0,0.0,2425.0
508,75.0,0.0,25.0,0.0,0.0,2380.0
509,72.5,0.0,25.0,2.5,0.0,2210.0
510,73.3,0.0,26.7,0.0,0.0,2425.0
511,75.0,0.0,25.0,0.0,0.0,2429.0
512,75.0,0.0,25.0,0.0,0.0,2413.1
513,71.4,0.0,23.8,0.0,4.8,2480.0
514,74.7,0.0,25.3,0.0,0.0,2437.0
