SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Poisson Ratio
 *, , , *, *, *, , 0.21
 *, , , , *, *, , 0.19
 *, , , , *, *, , 0.19
 *, , , , *, *, , 0.21
 *, , , , *, *, , 0.23
 *, , , , *, *, , 0.23
 *, , , *, *, *, , 0.21
 *, , , *, *, *, , 0.21
 72.0, 2.0, 3.0, 9.0, 14.0, , , 0.25
 72.0, 2.0, 3.0, 9.0, 14.0, , , 0.25
 72.0, 2.0, 3.0, 9.0, 14.0, , , 0.25
 72.0, 2.0, 3.0, 9.0, 14.0, , , 0.25
 72.0, 2.0, 3.0, 9.0, 14.0, , , 0.25
 72.0, 2.0, 3.0, 9.0, 14.0, , , 0.25
 72.0, 2.0, 3.0, 9.0, 14.0, , , 0.25
 72.0, 2.0, 3.0, 9.0, 14.0, , , 0.25
 72.0, 2.0, 3.0, 9.0, 14.0, , , 0.25
 72.0, 2.0, 3.0, 9.0, 14.0, , , 0.25
 72.0, 2.0, 3.0, 9.0, 14.0, , , 0.25
 80.96, 2.2, , , 3.81, 0.4, , 0.2
 *, , , , *, *, , 0.253
 70.0, 1.5, , , 9.1, 9.7, , 0.25
 *, *, *, , , *, , 0.27
 *, , , *, , *, , 0.2
 *, , , , *, *, , 0.29
 78.33, , , , , 21.67, , 0.167
 65.68, , , , , 34.32, , 0.168
 56.43, , , , , 43.57, , 0.17
 58.0, 20.0, 2.0, 3.0, 13.0, 4.0, , 0.22
 62.63, 0.3, , 5.71, 14.23, 0.3, , 0.21
 56.5, , , , 15.3, 0.9, , 0.23
 60.56, , 13.51, , , 13.51, , 0.26
 62.0, , 16.4, , , 11.0, , 0.25
 , , , , , 9.41, , 0.257
 , , , , , 10.31, , 0.257
 , , , , , 6.94, , 0.212
 4.71, , , , , 7.38, , 0.237
 , , , , , 7.26, , 0.247
 7.37, , , , , 3.85, , 0.208
 9.77, , , , , 3.83, , 0.25
 , , , , , 9.38, , 0.257
 , , , , , 10.29, , 0.257
 , , , , , 6.93, , 0.212
 4.7, , , , , 7.37, , 0.237
 , , , , , 7.25, , 0.247
